name	notes	ingredient	page
MEZCAL BUZZ	MEZCAL	AGAVE (MEZCAL)	158
MEZCAL BUZZ	GINGER SYRUP	SYRUP (GINGER)	158
MEZCAL BUZZ	FRESH LIME JUICE	JUICE (LIME)	158
MEZCAL BUZZ	LIME BITTERS	BITTERS (LIME)	158
MEZCAL BUZZ	EGG WHITE	EGG (WHITE)	158
MEZCAL BUZZ	GINGER BEER	SODA (GINGER BEER)	158
MEZCAL BUZZ	LIME WEDGE OR TWIST	GARNISH (LIME WEDGE)	158

WASHINGTON MULE	LAIRD'S STRAIGHT APPLE BRANDY	BRANDY (APPLE)	161
WASHINGTON MULE	FRESH LIME JUICE	JUICE (LIME)	161
WASHINGTON MULE	ANGOSTURA BITTERS	BITTERS (AROMATIC)	161
WASHINGTON MULE	GINGER BEER	SODA (GINGER BEER)	161
WASHINGTON MULE	LIME WEDGE	GARNISH (LIME WEDGE)	161

SAZERAC	ABSINTHE	ABSINTHE	166
SAZERAC	RYE	WHISKEY (RYE)	166
SAZERAC	COGNAC	BRANDY (GRAPE)	166
SAZERAC	SIMPLE SYRUP	SYRUP (SIMPLE)	166
SAZERAC	PEYCHAUD'S BITTERS	BITTERS (PEYCHAUD'S)	166
SAZERAC	ORANGE ZEST	TWIST (ORANGE)	166
SAZERAC	GRIOTTINES CHERRY	FRUIT (GRIOTTINES CHERRY)	166

CUBED OLD FASHIONED	COGNAC	BRANDY (GRAPE)	167
CUBED OLD FASHIONED	RYE	WHISKEY (RYE)	167
CUBED OLD FASHIONED	AGED RUM	RUM (AGED)	167
CUBED OLD FASHIONED	OLD FASHIONED SYRUP	SYRUP (OLD FASHIONED)	167
CUBED OLD FASHIONED	AROMATIC BITTERS	BITTERS (AROMATIC)	167
CUBED OLD FASHIONED	ORANGE BITTERS	BITTERS (ORANGE)	167
CUBED OLD FASHIONED	CHOCOLATE BITTERS	BITTERS (CHOCOLATE)	167
CUBED OLD FASHIONED	ORANGE ZEST	TWIST (ORANGE)	167
CUBED OLD FASHIONED	GRIOTTINES CHERRY	FRUIT (GRIOTTINES CHERRY)	167

TRUFFLED OLD FASHIONED	TONKA BEAN SYRUP	SYRUP (TONKA BEAN)	169
TRUFFLED OLD FASHIONED	BOKER'S BITTERS OR ANGOSTURA	BITTERS (AROMATIC)	169
TRUFFLED OLD FASHIONED	ORANGE ZEST	TWIST (ORANGE)	169
TRUFFLED OLD FASHIONED	GRIOTTINES CHERRY	FRUIT (GRIOTTINES CHERRY)	169
TRUFFLED OLD FASHIONED	LIQUID NITROGEN	LIQUID NITROGEN	169

AUDE MAN THYME	CHARDONNAY	WINE (CHARDONNAY)	171
AUDE MAN THYME	GIN	GIN	171
AUDE MAN THYME	FRESH THYME	SPICE (FRESH THYME)	171
AUDE MAN THYME	PEACH PUREE	PUREE (PEACH)	171

CHRYSANTHEMUM NO. 2	ABSINTHE	ABSINTHE	173
CHRYSANTHEMUM NO. 2	DRY VERMOUTH	VERMOUTH (DRY)	173
CHRYSANTHEMUM NO. 2	BENEDICTINE	LIQUEUR (BENEDICTINE)	173
CHRYSANTHEMUM NO. 2	FRESH LEMON JUICE	JUICE (LEMON)	173

SHERRY COBBLER	OLOROSO SHERRY	SHERRY (OLOROSO)	174
SHERRY COBBLER	PATXARAN LIQUEUR	LIQUEUR (PATXARAN)	174
SHERRY COBBLER	MARASCHINO LIQUEUR	LIQUEUR (CHERRY)	174
SHERRY COBBLER	ANGOSTURA BITTERS	BITTERS (AROMATIC)	174
SHERRY COBBLER	ORANGE SLICE	GARNISH (ORANGE SLICE)	174
SHERRY COBBLER	MINT LEAVES	GARNISH (MINT)	174
SHERRY COBBLER	SEASONAL BERRIES	GARNISH (SEASONAL BERRIES)	174

THE THREE SKYLARKS	LILLET ROSE	APERITIF (LILLET ROSE)	176
THE THREE SKYLARKS	BECHEROVKA	OTHER (BECHEROVKA)	176
THE THREE SKYLARKS	PEACH LIQUEUR	LIQUEUR (PEACH)	176
THE THREE SKYLARKS	REGAN'S ORANGE BITTERS NO. 6	BITTERS (ORANGE)	176
THE THREE SKYLARKS	FEVER-TREE TONIC WATER	SODA (TONIC)	176
THE THREE SKYLARKS	GRAPEFRUIT TWIST	TWIST (GRAPEFRUIT)	176
THE THREE SKYLARKS	EDIBLE FLOWER	GARNISH (EDIBLE FLOWER)	176

CHATELAINE	SAUVIGNON BLANC	WINE (SAUVIGNON BLANC)	177
CHATELAINE	GIN	GIN	177
CHATELAINE	POMEGRANATE JUICE	JUICE (POMEGRANATE)	177
CHATELAINE	ST-GERMAIN	LIQUEUR (ELDERFLOWER)	177
CHATELAINE	SIMPLE SYRUP	SYRUP (SIMPLE)	177
CHATELAINE	LEMON TWIST	TWIST (LEMON)	177

GATSBY	DRY VERMOUTH	VERMOUTH (DRY)	178
GATSBY	SWEET VERMOUTH	VERMOUTH (SWEET)	178
GATSBY	VODKA	VODKA	178
GATSBY	BENEDICTINE	LIQUEUR (BENEDICTINE)	178
GATSBY	GALLIANO	LIQUEUR (GALLIANO)	178
GATSBY	ORANGE BITTERS	BITTERS (ORANGE)	178
GATSBY	FLAMED ORANGE PEEL	TWIST (ORANGE)	178

CORRASCAL	DRY AMONTILLADO SHERRY	SHERRY (AMONTILLADO)	181
CORRASCAL	ROTHMAN & WINTER ORCHARD PEAR LIQUEUR	LIQUEUR (PEAR)	181
CORRASCAL	BENEDICTINE	LIQUEUR (BENEDICTINE)	181
CORRASCAL	ANGOSTURA BITTERS	BITTERS (AROMATIC)	181
CORRASCAL	DRY SPARKLING WINE	WINE (SPARKLING)	181
CORRASCAL	STAR ANISE	SPICE (STAR ANISE)	181

PIMM'S TEA	FRESHLY BREWED ORANGE PEKOE TEA	TEA (ORANGE PEKOE TEA)	182
PIMM'S TEA	PIMM'S NO. 1	LIQUEUR (PIMM'S)	182
PIMM'S TEA	HONEY SYRUP	SYRUP (HONEY)	182
PIMM'S TEA	FRESH LEMON JUICE	JUICE (LEMON)	182
PIMM'S TEA	LEMON WEDGE	GARNISH (LEMON WEDGE)	182
PIMM'S TEA	MINT LEAVES	GARNISH (MINT)	182

THE 2-1-2 COCKTAIL	PARTIDA REPOSADO TEQUILA	AGAVE (TEQUILA REPOSADO)	188
THE 2-1-2 COCKTAIL	FRESH GRAPEFRUIT JUICE	JUICE (GRAPEFRUIT)	188
THE 2-1-2 COCKTAIL	APEROL	APERITIF (APEROL)	188
THE 2-1-2 COCKTAIL	LIME WEDGE	GARNISH (LIME WEDGE)	188

THE 2-1-2 ROYALE	BLANCO TEQUILA	FERNET (BRANCA)	189
THE 2-1-2 ROYALE	CLARIFIED GRAPEFRUIT JUICE	JUICE (CLARIFIED GRAPEFRUIT)	189
THE 2-1-2 ROYALE	DISTILLED WATER	DISTILLED WATER	189
THE 2-1-2 ROYALE	APEROL	APERITIF (APEROL)	189
THE 2-1-2 ROYALE	DRY SPARKLING WINE	WINE (SPARKLING)	189
THE 2-1-2 ROYALE	SIMPLE SYRUP	SYRUP (SIMPLE)	189

APRICOT BLOW	AMER BOUDREAU	APERITIF (AMER BOUDREAU)	191
APRICOT BLOW	LILLET BLANC	APERITIF (LILLET BLANC)	191
APRICOT BLOW	GIFFARD ABRICOT DU ROUSSILLON	LIQUEUR (APRICOT)	191
APRICOT BLOW	CLARIFIED LEMON JUICE	JUICE (CLARIFIED LEMON)	191
APRICOT BLOW	DISTILLED WATER	DISTILLED WATER	191

CORPSE REVIVER CO2	CAFFEINE PILL	OTHER (CAFFEINE PILL)	192
CORPSE REVIVER CO2	DISTILLED WATER	DISTILLED WATER	192
CORPSE REVIVER CO2	GIN	GIN	192
CORPSE REVIVER CO2	COCCHI AMERICANO	APERITIF (COCCHI AMERICANO)	192
CORPSE REVIVER CO2	COMBIER TRIPLE SEC	LIQUEUR (ORANGE)	192
CORPSE REVIVER CO2	CLARIFIED LEMON JUICE	JUICE (CLARIFIED LEMON)	192
CORPSE REVIVER CO2	ABSINTHE	ABSINTHE	192

FRUIT BASKET	DRY SPARKLING WINE	WINE (SPARKLING)	193
FRUIT BASKET	WHITE RUM	RUM (WHITE)	193
FRUIT BASKET	DISTILLED WATER	DISTILLED WATER	193
FRUIT BASKET	APEROL	APERITIF (APEROL)	193
FRUIT BASKET	CLARIFIED LEMON JUICE	JUICE (CLARIFIED LEMON)	193
FRUIT BASKET	STRAWBERRY LIQUEUR	LIQUEUR (STRAWBERRY)	193
FRUIT BASKET	PEACH LIQUEUR	LIQUEUR (PEACH)	193
FRUIT BASKET	ORGANIC RED FOOD COLORING	FOOD COLORING (RED)	193

HANKY PANKY	GIN	GIN	195
HANKY PANKY	SWEET VERMOUTH	VERMOUTH (SWEET)	195
HANKY PANKY	FERNET-BRANCA	FERNET (BRANCA)	195
HANKY PANKY	ORANGE TWIST	TWIST (ORANGE)	195

LA BICYCLETTE	GIN	GIN	195
LA BICYCLETTE	SWEET VERMOUTH	VERMOUTH (SWEET)	195
LA BICYCLETTE	ST-GERMAIN	LIQUEUR (ELDERFLOWER)	195
LA BICYCLETTE	PEACH BITTERS	BITTERS (PEACH)	195
LA BICYCLETTE	LEMON TWIST	TWIST (LEMON)	195

LATIN TRIFECTA	BLANCO TEQUILA	AGAVE (TEQUILA BLANCO)	198
LATIN TRIFECTA	CYNAR	AMARO (CYNAR)	198
LATIN TRIFECTA	LUSTAU PEDRO XIMENEZ SHERRY	SHERRY (PEDRO XIMENEZ)	198
LATIN TRIFECTA	REGAN'S ORANGE BITTERS	BITTERS (ORANGE)	198
LATIN TRIFECTA	FLAMED ORANGE PEEL	TWIST (ORANGE)	198

LIBERAL COCKTAIL	RYE	WHISKEY (RYE)	199
LIBERAL COCKTAIL	SWEET VERMOUTH	VERMOUTH (SWEET)	199
LIBERAL COCKTAIL	AMER BOUDREAU	APERITIF (AMER BOUDREAU)	199
LIBERAL COCKTAIL	ORANGE BITTERS	BITTERS (ORANGE)	199
LIBERAL COCKTAIL	ORANGE TWIST	TWIST (ORANGE)	199

OAXACAN SCAFFA	MEZCAL	AGAVE (MEZCAL)	199
OAXACAN SCAFFA	PUNT E MES	VERMOUTH (SWEET)	199
OAXACAN SCAFFA	CREME DE MURE	LIQUEUR (CREME DE MURE)	199
OAXACAN SCAFFA	ANGOSTURA BITTERS	BITTERS (AROMATIC)	199
OAXACAN SCAFFA	ORANGE TWIST	TWIST (ORANGE)	199

ANGOSTURA COLLINS	FRESH LEMON JUICE	JUICE (LEMON)	203
ANGOSTURA COLLINS	SIMPLE SYRUP	SYRUP (SIMPLE)	203
ANGOSTURA COLLINS	SODA WATER	SODA	203
ANGOSTURA COLLINS	ANGOSTURA BITTERS	BITTERS (AROMATIC)	203
ANGOSTURA COLLINS	LEMON TWIST	TWIST (LEMON)	203

ALABAZAM	COGNAC	BRANDY (GRAPE)	204
ALABAZAM	COMBIER TRIPLE SEC	LIQUEUR (ORANGE)	204
ALABAZAM	ANGOSTURA BITTERS	BITTERS (AROMATIC)	204
ALABAZAM	SIMPLE SYRUP	SYRUP (SIMPLE)	204
ALABAZAM	FRESH LEMON JUICE	JUICE (LEMON)	204

BITTER FRUIT	MOSCATO D'ASTI	WINE (MOSCATO)	207
BITTER FRUIT	CAMPARI	APERITIF (CAMPARI)	207
BITTER FRUIT	BOYSENBERRY PUREE	PUREE (BOYSENBERRY)	207
BITTER FRUIT	LEMON TWIST	TWIST (LEMON)	207

JASMINE	TANQUERAY GIN	GIN (LONDON DRY)	208
JASMINE	FRESH LEMON JUICE	JUICE (LEMON)	208
JASMINE	COMBIER TRIPLE SEC	LIQUEUR (ORANGE)	208
JASMINE	CAMPARI	APERITIF (CAMPARI)	208
JASMINE	LEMON TWIST	TWIST (LEMON)	208

NOVARA	GIN	GIN	211
NOVARA	CAMPARI	APERITIF (CAMPARI)	211
NOVARA	PASSION FRUIT SYRUP	SYRUP (PASSION FRUIT)	211
NOVARA	FRESH LEMON JUICE	JUICE (LEMON)	211

MORO MORO MORO	CAMPARI	APERITIF (CAMPARI)	212
MORO MORO MORO	FRESH LEMON JUICE	JUICE (LEMON)	212
MORO MORO MORO	GIFFARD CREME DE PAMPLEMOUSSE ROSE	LIQUEUR (GRAPEFRUIT)	212
MORO MORO MORO	GRAPEFRUIT BITTERS	BITTERS (GRAPEFRUIT)	212
MORO MORO MORO	DRY BLOOD ORANGE SODA	SODA (BLOOD ORANGE)	212
MORO MORO MORO	GRAPEFRUIT WEDGE OR TWIST	GARNISH (GRAPEFRUIT WEDGE)	212

UNION CLUB	BOURBON	WHISKEY (BOURBON)	215
UNION CLUB	FRESH ORANGE JUICE	JUICE (ORANGE)	215
UNION CLUB	MARASCHINO LIQUEUR	LIQUEUR (CHERRY)	215
UNION CLUB	CAMPARI	APERITIF (CAMPARI)	215

BLOOD ORANGE	GIN	GIN	216
BLOOD ORANGE	AMARO MONTENEGRO	AMARO (MONTENEGRO)	216
BLOOD ORANGE	CAMPARI	APERITIF (CAMPARI)	216
BLOOD ORANGE	FRESH ORANGE JUICE	JUICE (ORANGE)	216

ITALIAN BUCK	AMARO MONTENEGRO	AMARO (MONTENEGRO)	219
ITALIAN BUCK	CYNAR	AMARO (CYNAR)	219
ITALIAN BUCK	FRESH LIME JUICE	JUICE (LIME)	219
ITALIAN BUCK	GINGER BEER	SODA (GINGER BEER)	219
ITALIAN BUCK	LIME WEDGE	GARNISH (LIME WEDGE)	219

PETRUCHIO COCKTAIL	GIN	GIN	220
PETRUCHIO COCKTAIL	APEROL	APERITIF (APEROL)	220
PETRUCHIO COCKTAIL	FRESH LEMON JUICE	JUICE (LEMON)	220
PETRUCHIO COCKTAIL	ORANGE BITTERS	BITTERS (ORANGE)	220
PETRUCHIO COCKTAIL	SIMPLE SYRUP	SYRUP (SIMPLE)	220
PETRUCHIO COCKTAIL	EGG WHITE	EGG (WHITE)	220
PETRUCHIO COCKTAIL	EDIBLE FLOWER	GARNISH (EDIBLE FLOWER)	220

ZIM ZALA BIM	PARTIDA REPOSADO TEQUILA	AGAVE (TEQUILA REPOSADO)	223
ZIM ZALA BIM	REGAN'S ORANGE BITTERS NO. 6	BITTERS (ORANGE)	223
ZIM ZALA BIM	ST-GERMAIN	LIQUEUR (ELDERFLOWER)	223
ZIM ZALA BIM	SIMPLE SYRUP	SYRUP (SIMPLE)	223
ZIM ZALA BIM	LEMON PEEL	TWIST (LEMON)	223

JUNGLE BIRD	BLACKWELL'S BLACK GOLD SPECIAL RESERVE RUM	RUM (DARK)	225
JUNGLE BIRD	FRESH PINEAPPLE JUICE	JUICE (PINEAPPLE	225
JUNGLE BIRD	CAMPARI	APERITIF (CAMPARI)	225
JUNGLE BIRD	FRESH LIME JUICE	JUICE (LIME)	225
JUNGLE BIRD	SIMPLE SYRUP	SYRUP (SIMPLE)	225
JUNGLE BIRD	PINEAPPLE WEDGE	GARNISH (PINEAPPLE WEDGE)	225

ZOMBIE FOR TWO	FRESH LIME JUICE	JUICE (LIME)	226
ZOMBIE FOR TWO	PLANTATION ORIGINAL DARK RUM	OTHER (SALINE)	226
ZOMBIE FOR TWO	BRAIN RUM	RUM (BRAIN)	226
ZOMBIE FOR TWO	HAMILTON JAMAICAN POT STILL GOLD RUM	RUM (GOLD)	226
ZOMBIE FOR TWO	PLANTATION ORIGINAL DARK RUM 73% OVERPROOF	RUM (DARK OVERPROOF)	226
ZOMBIE FOR TWO	FALERNUM	LIQUEUR (FALERNUM)	226
ZOMBIE FOR TWO	DONN MIX	MIX (DONN)	226
ZOMBIE FOR TWO	ANGOSTURA BITTERS	BITTERS (AROMATIC)	226
ZOMBIE FOR TWO	ABSINTHE	ABSINTHE	226
ZOMBIE FOR TWO	GRENADINE	SYRUP (GRENADINE)	226
ZOMBIE FOR TWO	GRAPEFRUIT ZEST	TWIST (GRAPEFRUIT)	226
ZOMBIE FOR TWO	MINT LEAVE	GARNISH (MINT)	226
ZOMBIE FOR TWO	LIME WEDGE	GARNISH (LIME WEDGE)	226

TEST PILOT	SMITH & CROSS TRADITIONAL JAMAICAN RUM	RUM (JAMAICAN OVERPROOF)	228
TEST PILOT	LIGHT RUM	RUM (LIGHT)	228
TEST PILOT	FALERNUM	LIQUEUR (FALERNUM)	228
TEST PILOT	COMBIER TRIPLE SEC	LIQUEUR (ORANGE)	228
TEST PILOT	FRESH LIME JUICE	JUICE (LIME)	228
TEST PILOT	ABSINTHE	ABSINTHE	228
TEST PILOT	ANGOSTURA BITTERS	BITTERS (AROMATIC)	228
TEST PILOT	CHERRY	GARNISH (CHERRY)	228

MAD BILLS TO PAY	TANQUERAY MALACCA GIN	GIN (MALACCA)	231
MAD BILLS TO PAY	APPLE-CORIANDER BEER SYRUP	SYRUP (APPLE-CORIANDER BEER)	231
MAD BILLS TO PAY	FRESH LEMON JUICE	JUICE (LEMON)	231
MAD BILLS TO PAY	APEROL	APERITIF (APEROL)	231
MAD BILLS TO PAY	PEYCHAUD'S BITTERS	BITTERS (PEYCHAUD'S)	231

BANKSY SOUR	BANKSY SCOTCH MIX	MIX (BANKSY SCOTCH)	232
BANKSY SOUR	FRESH LEMON JUICE	JUICE (LEMON)	232
BANKSY SOUR	SIMPLE SYRUP	SYRUP (SIMPLE)	232
BANKSY SOUR	EGG WHITE	EGG (WHITE)	232
BANKSY SOUR	PEYCHAUD'S BITTERS	BITTERS (PEYCHAUD'S)	232

AIR MAIL	DIPLOMATICO EXCLUSIVA RESERVA RUM	RUM (AGED)	234
AIR MAIL	FRESH LEMON JUICE	JUICE (LEMON)	234
AIR MAIL	HONEY SYRUP	SYRUP (HONEY)	234
AIR MAIL	DRY SPARKLING WINE	WINE (SPARKLING)	234
AIR MAIL	MINT LEAF	GARNISH (MINT)	234

ALL HALLOWS PUNCH	COGNAC	BRANDY (GRAPE)	235
ALL HALLOWS PUNCH	MARASCHINO LIQUEUR	LIQUEUR (CHERRY)	235
ALL HALLOWS PUNCH	ROSE CHAMPGANE	WINE (ROSE)	235
ALL HALLOWS PUNCH	GINGER ALE	SODA (GINGER ALE)	235
ALL HALLOWS PUNCH	BLOOD ORANGE WHEELS	GARNISH (BLOOD ORANGE WHEELS)	235

A MATTER OF THYME	NOVO FOGO SILVER CACHACA	CACHACA	236
A MATTER OF THYME	THYME-PICPOUL SYRUP	SYRUP (THYME-PICPOUL)	236
A MATTER OF THYME	FRESH LEMON JUICE	JUICE (LEMON)	236
A MATTER OF THYME	LIME BITTERS	BITTERS (LIME)	236
A MATTER OF THYME	FEVER-TREE TONIC WATER	SODA (TONIC)	236
A MATTER OF THYME	FRESH THYME SPRIG	SPICE (THYME)	236

FIGHATTAN	FIG BOURBON	WHISKEY (FIG BOURBON)	238
FIGHATTAN	COCCHI VERMOUTH DI TORINO	VERMOUTH (SWEET)	238
FIGHATTAN	AVERNA AMARO	AMARO (AVERNA)	238
FIGHATTAN	BOKER'S BITTERS OR ANGOSTURA	BITTERS (AROMATIC)	238
FIGHATTAN	FIG	GARNISH (FIG)	238
FIGHATTAN	CHERRY	GARNISH (CHERRY)	238

LIGHT MY FIRE	GREEN CHARTREUSE	CHARTREUSE (GREEN)	239
LIGHT MY FIRE	GIN	GIN	239
LIGHT MY FIRE	PEAR LIQUEUR	LIQUEUR (PEAR)	239
LIGHT MY FIRE	FRESH LEMON JUICE	JUICE (LEMON)	239
LIGHT MY FIRE	LAVENDER BITTERS	BITTERS (LAVENDER)	239
LIGHT MY FIRE	PEAR SLICE	GARNISH (PEAR SLICE)	239

GUNPOWDER AND SMOKE	BEEFEATER 24 LONDON DRY GIN	GIN (LONDON DRY)	241
GUNPOWDER AND SMOKE	FRESH LEMON JUICE	JUICE (LEMON)	241
GUNPOWDER AND SMOKE	GUNPOWDER TEA SYRUP	SYRUP (GUNPOWDER TEA)	241
GUNPOWDER AND SMOKE	EGG WHITE	EGG (WHITE)	241
GUNPOWDER AND SMOKE	LAPHROAIG 10 YEAR OLD SCOTCH	WHISKEY (SCOTCH)	241

CAMPFIRE IN GEORGIA	DEL MAGUEY VIDA MEZCAL	AGAVE (MEZCAL)	242
CAMPFIRE IN GEORGIA	CAMPFIRE SHRUB	SHRUB (CAMPFIRE)	242
CAMPFIRE IN GEORGIA	FRESH ORANGE JUICE	JUICE (ORANGE)	242
CAMPFIRE IN GEORGIA	ANGOSTURA BITTERS	BITTERS (AROMATIC)	242
CAMPFIRE IN GEORGIA	CINNAMON FRENCH OAK	SPICE (CINNAMON FRENCH OAK)	242

KHALEESI COCKTAIL	BLANTON'S SINGLE BARREL BOURBON WHISKEY	WHISKEY (BOURBON)	245
KHALEESI COCKTAIL	PUNT E MES	VERMOUTH (SWEET)	245
KHALEESI COCKTAIL	AMARO MELETTI	AMARO (MELETTI)	245
KHALEESI COCKTAIL	GIFFARD CREME DE FRAISE DE BOIS	LIQUEUR (CREME DE FRAISE)	245
KHALEESI COCKTAIL	ASCORBIC ACID SOLUTION	ASCORBIC ACID	245
KHALEESI COCKTAIL	DRAGON'S BLOOD TEA	TEA (DRAGON'S BLOOD)	245
KHALEESI COCKTAIL	LEMON TWIST	TWIST (LEMON)	245

ROMAN HOLIDAY	FRESH ORANGE JUICE	JUICE (ORANGE)	247
ROMAN HOLIDAY	PLANTATION ORIGINAL DARK RUM	RUM (DARK)	247
ROMAN HOLIDAY	PIERRE FERRAND 1840	BRANDY (GRAPE)	247
ROMAN HOLIDAY	GIFFARD ABRICOT DU ROUSSILLON	LIQUEUR (APRICOT)	247
ROMAN HOLIDAY	FRESH LEMON JUICE	JUICE (LEMON)	247
ROMAN HOLIDAY	ANCHO REYES	LIQUEUR (CHILE)	247
ROMAN HOLIDAY	ANGOSTURA BITTERS	BITTERS (AROMATIC)	247
ROMAN HOLIDAY	MINT LEAF	GARNISH (MINT)	247
ROMAN HOLIDAY	ORANGE ZEST	TWIST (ORANGE)	247

DAISY ROYALE	PIERRE FERRAND 1840	BRANDY (GRAPE)	248
DAISY ROYALE	PLANTATION ORIGINAL DARK	RUM (DARK)	248
DAISY ROYALE	FRESH LEMON JUICE	JUICE (LEMON)	248
DAISY ROYALE	YELLOW CHARTREUSE	CHARTREUSE (YELLOW)	248
DAISY ROYALE	SMALL HAND FOODS PINEAPPLE GUM SYRUP	SYRUP (PINEAPPLE GUM)	248
DAISY ROYALE	ANGOSTURA BITTERS	BITTERS (AROMATIC)	248
DAISY ROYALE	DRY SPARKLING WINE	WINE (SPARKLING)	248

CHERRY FIZZ	GIN	GIN	251
CHERRY FIZZ	LIQUEUR GRIOTTINE MORAND CHERRY BRANDY	BRANDY (CHERRY)	251
CHERRY FIZZ	FRESH LEMON JUICE	JUICE (LEMON)	251
CHERRY FIZZ	SIMPLE SYRUP	SYRUP (SIMPLE)	251
CHERRY FIZZ	EGG WHITE	EGG (WHITE)	251
CHERRY FIZZ	HEAVY CREAM	CREAM (HEAVY)	251
CHERRY FIZZ	ORANGE BLOSSOM WATER	OTHER (ORANGE BLOSSOM WATER)	251
CHERRY FIZZ	SODA WATER	SODA	251
CHERRY FIZZ	GRIOTTINES CHERRY	FRUIT (GRIOTTINES CHERRY)	251

THE GOLDEN MARTINI	OLD ENGLISH GIN	GIN (LONDON DRY)	252
THE GOLDEN MARTINI	DOLIN VERMOUTH DE CHAMBERY BLANC	VERMOUTH (BLANC)	252
THE GOLDEN MARTINI	GOLDWASSER LIQUEUR	LIQUEUR (GOLDWASSER)	252
THE GOLDEN MARTINI	ORANGE BITTERS	BITTERS (ORANGE)	252
THE GOLDEN MARTINI	LEMON TWIST	TWIST (LEMON)	252

D.C. CRACK	HIGH WEST DOUBLE RYE	WHISKEY (RYE)	255
D.C. CRACK	PLUM-MARIONBERRY SHRUB	SHRUB (PLUM-MARIONBERRY)	255
D.C. CRACK	SODA WATER	SODA	255
D.C. CRACK	ANGOSTURA BITTERS	BITTERS (AROMATIC)	255
D.C. CRACK	LEMON TWIST	TWIST (LEMON)	255

RUBICON	ROSEMARY SPRIG	SPICE (ROSEMARY)	257
RUBICON	GREEN CHARTREUSE	CHARTREUSE (GREEN)	257
RUBICON	GIN	GIN	257
RUBICON	MARASCHINO LIQUEUR	LIQUEUR (CHERRY)	257
RUBICON	FRESH LEMON JUICE	JUICE (LEMON)	257

SANGRIA BLANC	TINTERO GRANGIA BIANCO	WINE (BIANCO)	258
SANGRIA BLANC	ST-GERMAIN	LIQUEUR (ELDERFLOWER)	258
SANGRIA BLANC	GIN	GIN	258
SANGRIA BLANC	VODKA	VODKA	258
SANGRIA BLANC	LEMON	FRUIT (LEMON)	258
SANGRIA BLANC	LIME	FRUIT (LIME)	258
SANGRIA BLANC	SEASONAL FRUIT	FRUIT (SEASONAL FRUIT)	258

PUCK'S GARDEN	MINT	GARNISH (MINT)	261
PUCK'S GARDEN	STRAWBERRIES	FRUIT (STRAWBERRY)	261
PUCK'S GARDEN	PISCO	BRANDY (PISCO)	261
PUCK'S GARDEN	DISTILLED WATER	DISTILLED WATER	261
PUCK'S GARDEN	FRESH LEMON JUICE	JUICE (LEMON)	261
PUCK'S GARDEN	SIMPLE SYRUP	SYRUP (SIMPLE)	261
PUCK'S GARDEN	ABSINTHE	ABSINTHE	261
PUCK'S GARDEN	STRAWBERRY LIQUEUR	LIQUEUR (STRAWBERRY)	261
PUCK'S GARDEN	ASCORBIC ACID SOLUTION	ASCORBIC ACID	261
PUCK'S GARDEN	STRABERRIES	GARNISH (STRAWBERRY)	261

PONTARLIER EN PRINTEMPS	ABSINTHE	ABSINTHE	262
PONTARLIER EN PRINTEMPS	SIETE LEGUAS BLANCO TEQUILA	AGAVE (TEQUILA BLANCO)	262
PONTARLIER EN PRINTEMPS	WATERMELON MIX	MIX (WATERMELON)	262
PONTARLIER EN PRINTEMPS	CYPRUS SEA SALT	SALT (CYPRUS SEA)	262
PONTARLIER EN PRINTEMPS	DRY SPARKLING WINE	WINE (SPARKLING)	262
PONTARLIER EN PRINTEMPS	WATERMELON SLICE	GARNISH (WATERMELON SLICE)	262

TRANSFUSION NO. 1	COGNAC	BRANDY (GRAPE)	265
TRANSFUSION NO. 1	BOURBON	WHISKEY (BOURBON)	265
TRANSFUSION NO. 1	CREME YVETTE	LIQUEUR (CREME YVETTE)	265
TRANSFUSION NO. 1	ANCHO REYES	LIQUEUR (CHILE)	265
TRANSFUSION NO. 1	FRESH LEMON JUICE	JUICE (LEMON)	265
TRANSFUSION NO. 1	RASPBERRY LIQUEUR	LIQUEUR (RASPBERRY)	265
TRANSFUSION NO. 1	ANGOSTURA BITTERS	BITTERS (AROMATIC)	265
TRANSFUSION NO. 1	ORGANIC RED FOOD COLORING	FOOD COLORING (RED)	265
TRANSFUSION NO. 1	LEMON WHEEL	GARNISH (LEMON WHEEL)	265
TRANSFUSION NO. 1	RASPBERRIES	GARNISH (RASPBERRIES)	265

SMOKING MONKEY	ARDBERG TEN YEARS OLD SINGLE MALT SCOTCH	WHISKEY (SCOTCH)	266
SMOKING MONKEY	BANANA JAMESON	WHISKEY (BANANA JAMESON)	266
SMOKING MONKEY	LUSTAU PEDRO XIMENEZ SHERRY	SHERRY (PEDRO XIMENEZ)	266
SMOKING MONKEY	ANGOSTURA BITTERS	BITTERS (AROMATIC)	266
SMOKING MONKEY	BANANA SLICE	GARNISH (BANANA SLICE)	266

TEA FOR TWO	EARL GREY GIN	GIN (EARL GREY)	269
TEA FOR TWO	PIMM'S NO. 1	LIQUEUR (PIMM'S)	269
TEA FOR TWO	GIFFARD VANILLE DE MADAGASCAR	LIQUEUR (VANILLA)	269
TEA FOR TWO	FRESH LEMON JUICE	JUICE (LEMON)	269
TEA FOR TWO	HENDRICK'S QUINETUM	CORDIAL (QUININE)	269
TEA FOR TWO	LIQUID NITROGEN	LIQUID NITROGEN	269
