name	notes	ingredient	page
1846 COCKTAIL	LINGONBERRY SYRUP	SYRUP (LINGONBERRY)	75
1846 COCKTAIL	BOKER'S BITTERS OR ANGOSTURA	BITTERS (AROMATIC)	75
1846 COCKTAIL	LEMON TWIST	TWIST (LEMON)	75

THE DUBOUDREAU COCKTAIL	RYE	WHISKEY (RYE)	76
THE DUBOUDREAU COCKTAIL	DUBONNET ROUGE GRAND APERITIF DE FRANCE	APERITIF (DUBONNET)	76
THE DUBOUDREAU COCKTAIL	FERNET-BRANCA	FERNET (BRANCA)	76
THE DUBOUDREAU COCKTAIL	ST-GERMAIN	LIQUEUR (ELDERFLOWER)	76
THE DUBOUDREAU COCKTAIL	LEMON TWIST	TWIST (LEMON)	76

L'AMOUR EN FUITE	ABSINTHE	ABSINTHE	77
L'AMOUR EN FUITE	GIN	GIN	77
L'AMOUR EN FUITE	LILLET BLANC	APERITIF (LILLET BLANC)	77
L'AMOUR EN FUITE	ST-GERMAIN	LIQUEUR (ELDERFLOWER)	77
L'AMOUR EN FUITE	LEMON TWIST	TWIST (LEMON)	77

GUILLAUME D'ORANGE	GIN	GIN	78
GUILLAUME D'ORANGE	AMER BOUDREAU	APERITIF (AMER BOUDREAU)	78
GUILLAUME D'ORANGE	LILLET ROSE	APERITIF (LILLET ROSE)	78
GUILLAUME D'ORANGE	ORANGE ZEST	TWIST (ORANGE)	78

OLMSTEAD'S RELEASE	RYE	WHISKEY (RYE)	79
OLMSTEAD'S RELEASE	LILLET ROSE	APERITIF (LILLET ROSE)	79
OLMSTEAD'S RELEASE	CREME YVETTE	LIQUEUR (CREME YVETTE)	79
OLMSTEAD'S RELEASE	AMARO MELETTI	AMARO (MELETTI)	79
OLMSTEAD'S RELEASE	ANGOSTURA BITTERS	BITTERS (AROMATIC)	79
OLMSTEAD'S RELEASE	LEMON TWIST	TWIST (LEMON)	79

CHERRY BLOSSOM	BONDED RYE	WHISKEY (RYE)	80
CHERRY BLOSSOM	KIRSCH	OTHER (KIRSCH)	80
