name	notes	ingredient	page
MANHATTANS BY THE PITCHER	RITTENHOUSE RYE	WHISKEY (RYE)	153
MANHATTANS BY THE PITCHER	CARPANO	VERMOUTH (SWEET)	153
MANHATTANS BY THE PITCHER	ANGOSTURA BITTERS	BITTERS (AROMATIC)	153
MANHATTANS BY THE PITCHER	ICE WATER	WATER (COLD)	153

BOTTLED MANHATTANS, PROFESSIONAL STYLE	RITTENHOUSE RYE	WHISKEY (RYE)	155
BOTTLED MANHATTANS, PROFESSIONAL STYLE	CARPANO	VERMOUTH (SWEET)	155
BOTTLED MANHATTANS, PROFESSIONAL STYLE	ANGOSTURA BITTERS	BITTERS (AROMATIC)	155
BOTTLED MANHATTANS, PROFESSIONAL STYLE	FILTERED WATER	WATER	155

TBD: THAI BASIL DAIQUIRI	THAI BASIL LEAVES	GARNISH (THAI BASIL)	172
TBD: THAI BASIL DAIQUIRI	FLOR DE CANA WHITE RUM	RUM (WHITE)	172
TBD: THAI BASIL DAIQUIRI	FRESH LIME JUICE	JUICE (LIME)	172
TBD: THAI BASIL DAIQUIRI	SIMPLE SYRUP	SYRUP (SIMPLE)	172
TBD: THAI BASIL DAIQUIRI	SALINE SOLUTION	SALINE SOLUTION	172

SPANISH CHRIS	FRESH TARRAGON LEAVES	SPICE (TARRAGON)	174
SPANISH CHRIS	LA PURITITA MEZCAL	AGAVE (MEZCAL)	174
SPANISH CHRIS	LUXARDO MARASCHINO LIQUEUR	LIQUEUR (CHERRY)	174
SPANISH CHRIS	FRESH LIME JUICE	JUICE (LIME)	174
SPANISH CHRIS	SIMPLE SYRUP	SYRUP (SIMPLE)	174
SPANISH CHRIS	SALINE SOLUTION	SALINE SOLUTION	174

THE FLAT LEAF	FRESH PARSELY LEAVES	SPICE (PARSLEY)	175
THE FLAT LEAF	GIN	GIN	175
THE FLAT LEAF	FRESH ORANGE JUICE	JUICE (ORANGE)	175
THE FLAT LEAF	FRESH LIME JUICE	JUICE (LIME)	175
THE FLAT LEAF	SIMPLE SYRUP	SYRUP (SIMPLE)	175
THE FLAT LEAF	SALINE SOLUTION	SALINE SOLUTION	175

THE CARVONE	FRESH MINT	GARNISH (MINT)	176
THE CARVONE	LINIE AQUAVIT	AQUAVIT	176
THE CARVONE	SIMPLE SYRUP	SYRUP (SIMPLE)	176
THE CARVONE	SALINE SOLUTION	SALINE SOLUTION	176
THE CARVONE	LEMON TWIST	TWIST (LEMON)	176

RED-HOT ALE, POKER STYLE	COGNAC	BRANDY (GRAPE)	187
