name	notes	ingredient	page
JERRY THOMAS' REGENT'S PUNCH	PINEAPPLE SLICE	GARNISH (PINEAPPLE SLICE)	186

DANCING WITH THE GREEN FAIRY	ABSINTHE	ABSINTHE	201
DANCING WITH THE GREEN FAIRY	SUGAR CUBE	SUGAR (CUBE)	201
DANCING WITH THE GREEN FAIRY	ICE COLD WATER	WATER (COLD)	201

THE AVIATION	GIN	GIN	226
THE AVIATION	MARASCHINO LIQUEUR	LIQUER (CHERRY)	226
THE AVIATION	CREME DE VIOLETTE	LIQUER (CREME DE VIOLETTE)	226
THE AVIATION	FRESH LEMON JUICE	JUICE (LEMON)	226
THE AVIATION	VIOLET BLOSSOM	GARNISH (VIOLET BLOSSOM)	226

THE CHAMPAGNE COCKTAIL	SUGAR CUBE	SUGAR (CUBE)	229
THE CHAMPAGNE COCKTAIL	FEE BROTHERS OLD FASHION AROMATIC BITTERS	BITTERS (AROMATIC)	229
THE CHAMPAGNE COCKTAIL	CHAMPAGNE	WINE (SPARKLING)	229
THE CHAMPAGNE COCKTAIL	LEMON TWIST	TWIST (LEMON)	229

THE MAMANI GIN & TONIC	GIN, PREFERABLY AVIATION OR HENDRICK'S	GIN	238
THE MAMANI GIN & TONIC	JALAPENO	OTHER (JALAPENO)	238
THE MAMANI GIN & TONIC	CILANTRO OR BASIL	SPICE (CILANTRO)	238
THE MAMANI GIN & TONIC	CUCUMBER	OTHER (CUCUMBER)	238
THE MAMANI GIN & TONIC	TONIC, SUCH AS FEVER-TREE	SODA (TONIC)	238
THE MAMANI GIN & TONIC	RED OR ORANGE CHERRY TOMATOES	FRUIT (CHERRY TOMATO)	238

THE DOUGLAS EXPEDITION	LONDON DRY GIN	GIN (LONDON DRY)	244
THE DOUGLAS EXPEDITION	DOUGLAS FIR EAU DE VIE	EAU DE VIE (DOUGLAS FIR)	244
THE DOUGLAS EXPEDITION	ST GERMAIN	LIQUEUR (ELDERFLOWER)	244
THE DOUGLAS EXPEDITION	LEMON WEDGE	GARNISH (LEMON WEDGE)	244

ROYAL TANNENBAUM	LONDON DRY GIN	GIN (LONDON DRY)	251
ROYAL TANNENBAUM	PINE LIQUEUR, SUCH AS ZIRBENZ	LIQUEUR (PINE)	251
ROYAL TANNENBAUM	ROSEMARY	SPICE (ROSEMARY)	251

CARIBOU	RED WINE	WINE (RED)	258
CARIBOU	RYE	WHISKEY (RYE)	258
CARIBOU	MAPLE SYRUP	SYRUP (MAPLE)	258

VALENCIA	ROTHMAN & WINTER ORCHARD APRICOT	LIQUEUR (APRICOT)	261
VALENCIA	FRESH ORANGE JUICE	JUICE (ORANGE)	261
VALENCIA	ORANGE BITTERS	BITTERS (ORANGE)	261
VALENCIA	ORANGE PEEL	TWIST (ORANGE)	261

KIR	DRY WHITE WINE SUCH AS ALIGOTE	WINE (DRY WHITE)	267
KIR	CREME DE CASSIS	LIQUEUR (CREME DE CASSIS)	267

THE HYBRIDIZED BOOKLYN COCKTAIL	RYE OR BOURBON	WHISKEY (BOURBON)	275
THE HYBRIDIZED BOOKLYN COCKTAIL	DRY VERMOUTH	VERMOUTH (DRY)	275
THE HYBRIDIZED BOOKLYN COCKTAIL	MARASCHINO LIQUEUR	LIQUEUR (CHERRY)	275
THE HYBRIDIZED BOOKLYN COCKTAIL	ANGOSTURA OR ORANGE BITTERS	BITTERS (AROMATIC)	275
THE HYBRIDIZED BOOKLYN COCKTAIL	MARASCHINO CHERRY	GARNISH (CHERRY)	275

SLOE GIN FIZZ	SLOE GIN	GIN (SLOE)	283
SLOE GIN FIZZ	LEMON JUICE	JUICE (LEMON)	283
SLOE GIN FIZZ	SIMPLE SYRUP	SYRUP (SIMPLE)	283
SLOE GIN FIZZ	EGG WHITE	EGG (WHITE)	283
SLOE GIN FIZZ	CLUB SODA	SODA	283

RED LION HYBRID	PLYMOUTH GIN OR VODKA	GIN (LONDON DRY)	289
RED LION HYBRID	GRAND MARNIER	LIQUEUR (ORANGE)	289
RED LION HYBRID	FRESH ORANGE JUICE OR TANGERINE JUICE	JUICE (TANGERINE)	289
RED LION HYBRID	LEMON JUICE	JUICE (LEMON)	289
RED LION HYBRID	GRENADINE	SYRUP (GRENADINE)	289
RED LION HYBRID	ORANGE PEEL	TWIST (ORANGE)	289

NEGRONI	GIN	GIN	292
NEGRONI	SWEET VERMOUTH	VERMOUTH (SWEET)	292
NEGRONI	CAMPARI	APERITIF (CAMPARI)	292
NEGRONI	ORANGE PEEL	TWIST (ORANGE)	292

CIAO BELLA	GIN	GIN	295
CIAO BELLA	SWEET VERMOUTH	VERMOUTH (SWEET)	295
CIAO BELLA	CAMPARI	APERITIF (CAMPARI)	295
CIAO BELLA	GRAPEFRUIT JUICE	JUICE (GRAPEFRUIT)	295
CIAO BELLA	GRAPEFRUIT ZEST	TWIST (GRAPEFRUIT)	295

THE FRANK MEYER EXPEDITION	VODKA	VODKA	297
THE FRANK MEYER EXPEDITION	SIMPLE SYRUP	SYRUP (SIMPLE)	297
THE FRANK MEYER EXPEDITION	MEYER LEMON JUICE	JUICE (LEMON)	297
THE FRANK MEYER EXPEDITION	DRY SPARKLING WINE	WINE (SPARKLING)	297
THE FRANK MEYER EXPEDITION	LEMON PEEL	TWIST (LEMON)	297

BLOOD ORANGE SIDECAR	COGNAC OR BRANDY	BRANDY (GRAPE)	301
BLOOD ORANGE SIDECAR	BLOOD ORANGE JUICE	JUICE (BLOOD ORANGE)	301
BLOOD ORANGE SIDECAR	SOLERNO BLOOD ORANGE LIQUEUR	LIQUEUR (BLOOD ORANGE)	301
BLOOD ORANGE SIDECAR	ANGOSTURA BITTERS	BITTERS (AROMATIC)	301

RAMOS GIN FIZZ	OLD TOM GIN	GIN (OLD TOM)	303
RAMOS GIN FIZZ	LEMON JUICE	JUICE (LEMON)	303
RAMOS GIN FIZZ	LIME JUICE	JUICE (LIME)	303
RAMOS GIN FIZZ	SIMPLE SYRUP	SYRUP (SIMPLE)	303
RAMOS GIN FIZZ	CREAM	CREAM (HEAVY)	303
RAMOS GIN FIZZ	EGG WHITE	EGG (WHITE)	303
RAMOS GIN FIZZ	ORANGE FLOWER WATER	OTHER (ORANGE FLOWER WATER)	303
RAMOS GIN FIZZ	SODA WATER	SODA	303

MAI TAI	DARK RUM	RUM (DARK)	304
MAI TAI	LIME JUICE	JUICE (LIME)	304
MAI TAI	CURACAO	LIQUEUR (CURACAO)	304
MAI TAI	SIMPLE SYRUP	SYRUP (SIMPLE)	304
MAI TAI	ORGEAT SYRUP	SYRUP (ORGEAT)	304
MAI TAI	MARASCHINO CHERRY	GARNISH (CHERRY)	304
MAI TAI	WEDGE OF PINEAPPLE	GARNISH (PINEAPPLE WEDGE)	304

BUENA VISTA'S IRISH COFFEE	HOT COFFEE	COFFEE	311
BUENA VISTA'S IRISH COFFEE	SUGAR CUBES	SUGAR (CUBE)	311
BUENA VISTA'S IRISH COFFEE	IRISH WHISKEY	WHISKEY (IRISH)	311
BUENA VISTA'S IRISH COFFEE	WHIPPING CREAM	CREAM (HEAVY)	311

WALKER PERCY'S MINT JULEP	BOURBON	WHISKEY (BOURBON)	326
WALKER PERCY'S MINT JULEP	SPEARMINT	GARNISH (MINT)	326
WALKER PERCY'S MINT JULEP	SUPERFINE SUGAR	SUGAR (SUPERFINE)	326

LAVENDER-ELDERFLOWER CHAMPAGNE COCKTAIL	LAVENDER SIMPLE SYRUP	SYRUP (LAVENDER)	330
LAVENDER-ELDERFLOWER CHAMPAGNE COCKTAIL	ST GERMAIN	LIQUEUR (ELDERFLOWER)	330
LAVENDER-ELDERFLOWER CHAMPAGNE COCKTAIL	CHAMPAGNE OR OTHER SPARKLING WINE	WINE (SPARKLING)	330
LAVENDER-ELDERFLOWER CHAMPAGNE COCKTAIL	FRESH LAVENDER	GARNISH (LAVENDER)	330

LAVENDER MARTINI	FRESH LAVENDER	GARNISH (LAVENDER)	331
LAVENDER MARTINI	GIN, PREFERABLY DRY FLY	GIN	331
LAVENDER MARTINI	LILLET BLANC	APERITIF (LILLET BLANC)	331
LAVENDER MARTINI	LEMON PEEL	TWIST (LEMON)	331

JACK ROSE	APPLEJACK	BRANDY (APPLE)	339
JACK ROSE	FRESH LEMON JUICE	JUICE (LEMON)	339
JACK ROSE	GRENADINE	SYRUP (GRENADINE)	339

THE FREZIER AFFAIR	STRAWBERRY	FRUIT (STRAWBERRY)	351
THE FREZIER AFFAIR	WHITE RUM	RUM (WHITE)	351
THE FREZIER AFFAIR	YELLOW CHARTREUSE	CHARTREUSE (YELLOW)	351
THE FREZIER AFFAIR	LEMON WEDGE	GARNISH (LEMON WEDGE)	351

BLUSHING MARY	VODKA OR TEQUILA	AGAVE (TEQUILA BLANCO)	354
BLUSHING MARY	CHERRY TOMATOES	FRUIT (CHERRY TOMATO)	354
BLUSHING MARY	HOT PEPPER	OTHER (HOT PEPPER)	354
BLUSHING MARY	WORCHESTERSHIRE SAUCE	OTHER (WORCHESTERSHIRE SAUCE)	354
BLUSHING MARY	BASIL	SPICE (BASIL)	354
BLUSHING MARY	PARSLEY	SPICE (PARSLEY)	354
BLUSHING MARY	CILANTRO	SPICE (CILANTRO)	354
BLUSHING MARY	DILL	SPICE (DILL)	354
BLUSHING MARY	TONIC WATER	SODA (TONIC)	354
BLUSHING MARY	CELERY BITTERS	BITTERS (CELERY)	354
BLUSHING MARY	BLACK PEPPER	SPICE (BLACK PEPPER)	354
