name	notes	ingredient	page
FRISCO SOUR	BENEDICTINE	LIQUEUR (BENEDICTINE)	123
FRISCO SOUR	FRESH LEMON JUICE	JUICE (LEMON)	123
FRISCO SOUR	FRESH LIME JUICE	JUICE (LIME)	123
FRISCO SOUR	SIMPLE SYRUP	SYRUP (SIMPLE)	123
FRISCO SOUR	LEMON WHEEL	GARNISH (LEMON WHEEL)	123
FRISCO SOUR	LIME WHEEL	GARNISH (LIME WHEEL)	123
FRISCO SOUR	BRANDIED CHERRY	GARNISH (BRANDIED CHERRY)	123

STEVE-O'S TUXEDO	PLYMOUTH GIN	GIN (LONDON DRY)	124
STEVE-O'S TUXEDO	EGG WHITE	EGG (WHITE)	124
STEVE-O'S TUXEDO	FRESH LEMON JUICE	JUICE (LEMON)	124
STEVE-O'S TUXEDO	SIMPLE SYRUP	SYRUP (SIMPLE)	124
STEVE-O'S TUXEDO	REGAN'S ORANGE BITTERS	BITTERS (ORANGE)	124
STEVE-O'S TUXEDO	ORANGE TWIST	TWIST (ORANGE)	124

WHITE LADY	PLYMOUTH GIN	GIN (LONDON DRY)	125
WHITE LADY	COINTREAU	LIQUEUR (ORANGE)	125
WHITE LADY	FRESH LEMON JUICE	JUICE (LEMON)	125
WHITE LADY	ORANGE TWIST	TWIST (ORANGE)	125

WATERLOO	WATERMELON CHUNKS	FRUIT (WATERMELON)	127
WATERLOO	SIMPLE SYRUP	SYRUP (SIMPLE)	127
WATERLOO	PLYMOUTH GIN	GIN (LONDON DRY)	127
WATERLOO	FRESH LEMON JUICE	JUICE (LEMON)	127
WATERLOO	CAMPARI	APERITIF (CAMPARI)	127

WEST SIDE	CHARBAY MEYER LEMON VODKA	VODKA (LEMON)	128
WEST SIDE	FRESH LEMON JUICE	JUICE (LEMON)	128
WEST SIDE	SIMPLE SYRUP	SYRUP (SIMPLE)	128
WEST SIDE	MINT	GARNISH (MINT)	128
WEST SIDE	CLUB SODA	SODA	128

SOUTH SIDE	PLYMOUTH GIN	GIN (LONDON DRY)	130
SOUTH SIDE	FRESH LEMON JUICE	JUICE (LEMON)	130
SOUTH SIDE	SIMPLE SYRUP	SYRUP (SIMPLE)	130
SOUTH SIDE	MINT	GARNISH (MINT)	130
SOUTH SIDE	CLUB SODA	SODA	130

YELLOW JACKET	PARTIDA REPOSADO TEQUILA	AGAVE (TEQUILA REPOSADO)	133
YELLOW JACKET	ST GERMAIN	LIQUEUR (ELDERFLOWER)	133
YELLOW JACKET	YELLOW CHARTREUSE	CHARTREUSE (YELLOW)	133
YELLOW JACKET	REGAN'S ORANGE BITTERS	BITTERS (ORANGE)	133
YELLOW JACKET	LEMON TWIST	TWIST (LEMON)	133

BELLINI	BOIRON OR HOMEMADE WHITE PEACH PUREE	PUREE (WHITE PEACH)	134
BELLINI	ZARDETTO PROSECCO	WINE (SPARKLING)	134
BELLINI	MASSENEZ CREME DE PECHE	LIQUEUR (CREME DE PECHE)	134

BLOOD PEACH BELLINI	BOIRON OR HOMEMADE WHITE PEACH PUREE	PUREE (WHITE PEACH)	135
BLOOD PEACH BELLINI	HOMEMADE GRENADINE	SYRUP (GRENADINE)	135
BLOOD PEACH BELLINI	PROSECCO	WINE (SPARKLING)	135
BLOOD PEACH BELLINI	CAMPARI	APERITIF (CAMPARI)	135

BLOOD MARY	RUSSIAN STANDARD VODKA	VODKA	136
BLOOD MARY	BLOODY MARY MIX	MIX (BLOODY MARY)	136
BLOOD MARY	FRESH LEMON JUICE	JUICE (LEMON)	136
BLOOD MARY	CELERY STALK	GARNISH (CELERY STALK)	136
BLOOD MARY	LEMON WEDGE	GARNISH (LEMON WEDGE)	136
BLOOD MARY	GRAPE TOMATO	GARNISH (GRAPE TOMATO)	136
BLOOD MARY	PICKLED ONION	GARNISH (PICKLED ONION)	136
BLOOD MARY	OLIVE	GARNISH (OLIVE)	136

MID-MORNING FIZZ	GREEN CHARTREUSE	CHARTREUSE (GREEN)	139
MID-MORNING FIZZ	CLUB SODA	SODA	139
MID-MORNING FIZZ	MARTIN MILLER'S WESTBOURNE STRENGTH GIN	GIN (NAVY)	139
MID-MORNING FIZZ	FRESH LEMON JUICE	JUICE (LEMON)	139
MID-MORNING FIZZ	SIMPLE SYRUP	SYRUP (SIMPLE)	139
MID-MORNING FIZZ	ORAGNE BLOSSOM WATER	OTHER (ORANGE BLOSSOM WATER)	139
MID-MORNING FIZZ	EGG WHITE	EGG (WHITE)	139
MID-MORNING FIZZ	ORANGE HALF WHEEL	GARNISH (ORANGE HALF WHEEL)	139

RAMOS GIN FIZZ	CLUB SODA	SODA	140
RAMOS GIN FIZZ	MARTIN MILLER'S WESTBOURNE STRENGTH GIN	GIN (NAVY)	140
RAMOS GIN FIZZ	FRESH LEMON JUICE	JUICE (LEMON)	140
RAMOS GIN FIZZ	SIMPLE SYRUP	SYRUP (SIMPLE)	140
RAMOS GIN FIZZ	ORANGE BLOSSOM WATER	OTHER (ORANGE BLOSSOM WATER)	140
RAMOS GIN FIZZ	EGG WHITE	EGG (WHITE)	140
RAMOS GIN FIZZ	HEAVY CREAM	CREAM (HEAVY)	140

WIDOW'S KISS	DARON FINE CALVADOS	BRANDY (APPLE)	141
WIDOW'S KISS	YELLOW CHARTREUSE	CHARTREUSE (YELLOW)	141
WIDOW'S KISS	BENEDICITNE	LIQUEUR (BENEDICTINE)	141
WIDOW'S KISS	ANGOSTURA BITTERS	BITTERS (ANGOSTURA)	141
WIDOW'S KISS	LEMON TWIST	TWIST (LEMON)	141

THE LAST WORD	BEEFEATER 24	GIN (LONDON DRY)	143
THE LAST WORD	GREEN CHARTREUSE	CHARTREUSE (GREEN)	143
THE LAST WORD	LUXARDO MARASCHINO LIQUEUR	LIQUEUR (CHERRY)	143
THE LAST WORD	FRESH LIME JUICE	JUICE (LIME)	143
THE LAST WORD	LIME WHEEL	GARNISH (LIME WHEEL)	143

PIMM'S FRUIT CUP	MINT	GARNISH (MINT)	145
PIMM'S FRUIT CUP	PIMM'S NO. 1	LIQUEUR (PIMM'S)	145
PIMM'S FRUIT CUP	COINTREAU	LIQUEUR (ORANGE)	145
PIMM'S FRUIT CUP	FRESH LIME JUICE	JUICE (LIME)	145
PIMM'S FRUIT CUP	CUCUMBER WHEELS	GARNISH (CUCUMBER WHEEL)	145
PIMM'S FRUIT CUP	STRAWBERRIES	FRUIT (STRAWBERRY)	145
PIMM'S FRUIT CUP	APPLE SLICES	FRUIT (APPLE)	145
PIMM'S FRUIT CUP	BARTLETT PEAR	FRUIT (BARTLETT PEAR)	145
PIMM'S FRUIT CUP	GINGER ALE	SODA (GINGER ALE)	145

WEST SIDE PUNCH	MINT	GARNISH (MINT)	146
WEST SIDE PUNCH	CHARBAY MEYER LEMON VODKA	VODKA (LEMON)	146
WEST SIDE PUNCH	FRESH LEMON JUICE	JUICE (LEMON)	146
WEST SIDE PUNCH	SIMPLE SYRUP	SYRUP (SIMPLE)	146
WEST SIDE PUNCH	CLUB SODA	SODA	146

JERSEY CITY FISH HOUSE PUNCH	FUJI APPLES	FRUIT (FUJI APPLE)	147
JERSEY CITY FISH HOUSE PUNCH	BARTLETT PEARS	FRUIT (BARTLETT PEAR)	147
JERSEY CITY FISH HOUSE PUNCH	LEMONS	FRUIT (LEMON)	147
JERSEY CITY FISH HOUSE PUNCH	LIMES	FRUIT (LIME)	147
JERSEY CITY FISH HOUSE PUNCH	SMITH & CROSS	RUM (JAMAICAN OVERPROOF)	147
JERSEY CITY FISH HOUSE PUNCH	LAIRD'S APPLEJACK	BRANDY (APPLE)	147
JERSEY CITY FISH HOUSE PUNCH	FRESH LEMON JUICE	JUICE (LEMON)	147
JERSEY CITY FISH HOUSE PUNCH	WATER	WATER	147
JERSEY CITY FISH HOUSE PUNCH	MASSENEZ CREME DE PECHE	LIQUEUR (CREME DE PECHE)	147

GIN PUNCH	NAVEL ORANGES	FRUIT (NAVEL ORANGE)	148
GIN PUNCH	LIMES	FRUIT (LIME)	148
GIN PUNCH	RASPBERRIES	FRUIT (RASPBERRY)	148
GIN PUNCH	PINEAPPLE	FRUIT (PINEAPPLE)	148
GIN PUNCH	PLYMOUTH GIN	GIN (LONDON DRY)	148
GIN PUNCH	FRESH LEMON JUICE	JUICE (LEMON)	148
GIN PUNCH	SIMPLE SYRUP	SYRUP (SIMPLE)	148
GIN PUNCH	ORGEAT	SYRUP (ORGEAT)	148
GIN PUNCH	MASSENEZ CREME DE FRAMBOISE	LIQUEUR (CREME DE FRAMBOISE)	148
GIN PUNCH	WATER	WATER	148
GIN PUNCH	PERRIER-JOUET GRAND BRUT CHAMPAGNE	WINE (SPARKLING)	148

SPICED SANGRIA ROJA	WATER	WATER	150
SPICED SANGRIA ROJA	SUGAR	SUGAR	150
SPICED SANGRIA ROJA	CLOVES	SPICE (CLOVE)	150
SPICED SANGRIA ROJA	CINNAMON STICKS	SPICE (CINNAMON STICK)	150
SPICED SANGRIA ROJA	STAR ANISE	SPICE (STAR ANISE)	150
SPICED SANGRIA ROJA	VANILLA POD	SPICE (VANILLA POD)	150
SPICED SANGRIA ROJA	GINGER	SPICE (GINGER)	150
SPICED SANGRIA ROJA	RIOJA WINE	WINE (RIOJA)	150
SPICED SANGRIA ROJA	FRESH ORANGE JUICE	JUICE (ORANGE)	150
SPICED SANGRIA ROJA	FRESH LIME JUICE	JUICE (LIME)	150
SPICED SANGRIA ROJA	ORANGE	FRUIT (ORANGE)	150
SPICED SANGRIA ROJA	LEMON	FRUIT (LEMON)	150
SPICED SANGRIA ROJA	HONEYDEW MELON	FRUIT (HONEYDEW MELON)	150
SPICED SANGRIA ROJA	RED GRAPES	FRUIT (RED GRAPE)	150

SANGRIA BLANCA	PROTUGEUESE VINHO VERDE	WINE (VINHO VERDE)	151
SANGRIA BLANCA	SIMPLE SYRUP	SYRUP (SIMPLE)	151
SANGRIA BLANCA	MASSENEZ CREME DE PECHE	LIQUEUR (CREME DE PECHE)	151
SANGRIA BLANCA	FRESH LEMON JUICE	JUICE (LEMON)	151
SANGRIA BLANCA	CANTALOUPE	FRUIT (CANTALOUPE)	151
SANGRIA BLANCA	PEACHES	FRUIT (PEACH)	151
SANGRIA BLANCA	GREEN GRAPES	FRUIT (GREEN GRAPE)	151
SANGRIA BLANCA	RED GRAPES	FRUIT (RED GRAPE)	151
