name	notes	category	ingredient	page
CAPTAIN'S GROG	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	65
CAPTAIN'S GROG	PIERRE FERRAND DRY CURACAO		LIQUEUR (ORANGE)	65
CAPTAIN'S GROG		5	RUM (BLACK BLENDED)	65
CAPTAIN'S GROG		2	RUM (BLENDED LIGHTLY AGED)	65
CAPTAIN'S GROG		3	RUM (BLENDED AGED)	65
SUFFERING BASTARD			BEER (GINGER)	65
SUFFERING BASTARD			JUICE (LIME)	65
SUFFERING BASTARD			SYRUP (DEMERARA)	65
SUFFERING BASTARD			GIN (LONDON DRY)	65
SUFFERING BASTARD			BRANDY (GRAPE)	65
SUFFERING BASTARD	ANGOSTURA BITTERS		BITTERS (AROMATIC)	65
MERCILESS VIRGIN			JUICE (LEMON)	67
MERCILESS VIRGIN	SELTZER		SODA	67
MERCILESS VIRGIN			LIQUEUR (CHERRY HEERING)	67
MERCILESS VIRGIN	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	67
MERCILESS VIRGIN	PIERRE FERRAND DRY CURACAO		LIQUEUR (ORANGE)	67
MERCILESS VIRGIN		2	RUM (BLENDED LIGHTLY AGED)	67
SATURN			JUICE (LEMON)	67
SATURN			SYRUP (PASSION FRUIT)	67
SATURN	ORGEAT		SYRUP (ALMOND)	67
SATURN	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	67
SATURN			GIN (LONDON DRY)	67
TIKI BOWL			JUICE (ORANGE)	68
TIKI BOWL			JUICE (LIME)	68
TIKI BOWL			SYRUP (HONEY)	68
TIKI BOWL		5	RUM (BLACK BLENDED)	68
TIKI BOWL		6	RUM (BLACK BLENDED OVERPROOF)	68
TIKI BOWL		4	RUM (COLUMN STILL AGED)	68
TIKI BOWL			BITTERS (HERBSTURA)	68
HURRICANE			JUICE (LEMON)	68
HURRICANE			SYRUP (PASSION FRUIT)	68
HURRICANE		5	RUM (BLACK BLENDED)	68
MUNDO PERDIDO			JUICE (LEMON)	93
MUNDO PERDIDO			SYRUP (CINNAMON)	93
MUNDO PERDIDO			SYRUP (DEMERARA)	93
MUNDO PERDIDO			BRANDY (APPLE)	93
MUNDO PERDIDO		5	RUM (BLACK BLENDED)	93
FORMIDABLE DRAGON			JUICE (LEMON)	93
FORMIDABLE DRAGON			JUICE (LIME)	93
FORMIDABLE DRAGON			SYRUP (HONEY)	93
FORMIDABLE DRAGON			SYRUP (MOLASSES)	93
FORMIDABLE DRAGON			AMARO (DI ANGOSTURA)	93
FORMIDABLE DRAGON		3	RUM (BLENDED AGED)	93
FORMIDABLE DRAGON		5	RUM (BLACK BLENDED)	93
FORMIDABLE DRAGON		1	POT STILL LIGHTLY AGED RUM (OVERPROOF)	93
FORMIDABLE DRAGON	SELTZER		SODA	93
LEI LANI VOLCANO 2.0	BUNDABERG GUAVA SODA		SODA (GUAVA)	94
LEI LANI VOLCANO 2.0			JUICE (PINEAPPLE)	94
LEI LANI VOLCANO 2.0			JUICE (LIME)	94
LEI LANI VOLCANO 2.0			CREAM (COCONUT)	94
LEI LANI VOLCANO 2.0		3	RUM (BLENDED AGED)	94
TRADEWINDS			JUICE (LEMON)	94
TRADEWINDS			CREAM (COCONUT)	94
TRADEWINDS	APRICOT LIQUEUR (SUCH AS ROTHMAN & WINTER APRICOT LIQUEUR OR GIFFARD ABRICOT DU ROUSSILLON)		LIQUEUR (APRICOT)	94
TRADEWINDS		5	RUM (BLACK BLENDED)	94
TRADEWINDS		2	RUM (BLENDED LIGHTLY AGED)	94
PEACHTREE PUNCH 2.0	YELLOW OR WHITE PEACH, PITTED, AND COARSELY CHOPPED INTO CHUNKS (WITH SKIN)		FRUIT (PEACH)	96
PEACHTREE PUNCH 2.0			JUICE (ORANGE)	96
PEACHTREE PUNCH 2.0			JUICE (LEMON)	96
PEACHTREE PUNCH 2.0			CREAM (COCONUT)	96
PEACHTREE PUNCH 2.0	PEACH LIQUEUR (SUCH AS MATHILDE PEACH OR COMBIER CRÈME DE PÊCHE DE VIGNE)		LIQUEUR (PEACH)	96
PEACHTREE PUNCH 2.0		2	RUM (BLENDED LIGHTLY AGED)	96
PEACHTREE PUNCH 2.0	SELTZER		SODA	96
JUNGLE BIRD			JUICE (PINEAPPLE)	96
JUNGLE BIRD			JUICE (LIME)	96
JUNGLE BIRD			SYRUP (DEMERARA)	96
JUNGLE BIRD			AMARO (CAMPARI)	96
JUNGLE BIRD		5	RUM (BLACK BLENDED)	96
GOLDEN GUN			JUICE (LIME)	97
GOLDEN GUN			JUICE (GRAPEFRUIT)	97
GOLDEN GUN			SYRUP (DEMERARA)	97
GOLDEN GUN	APRICOT LIQUEUR (SUCH AS ROTHMAN & WINTER APRICOT LIQUEUR OR GIFFARD ABRICOT DU ROUSSILLON)		LIQUEUR (APRICOT)	97
GOLDEN GUN		3	RUM (BLENDED AGED)	97
GOLDEN GUN		2	RUM (BLENDED LIGHTLY AGED)	97
GOLDEN GUN	ANGOSTURA BITTERS		BITTERS (AROMATIC)	97
HINKY DINKS FIZZY			WINE (SPARKLING)	97
HINKY DINKS FIZZY			JUICE (PINEAPPLE)	97
HINKY DINKS FIZZY			JUICE (LIME)	97
HINKY DINKS FIZZY			SYRUP (PASSION FRUIT)	97
HINKY DINKS FIZZY	APRICOT LIQUEUR (SUCH AS ROTHMAN & WINTER APRICOT LIQUEUR OR GIFFARD ABRICOT DU ROUSSILLON)		LIQUEUR (APRICOT)	97
HINKY DINKS FIZZY			GIN (LONDON DRY)	97
HINKY DINKS FIZZY		2	RUM (BLENDED LIGHTLY AGED)	97
PAMPANITO			JUICE (LEMON)	115
PAMPANITO			SYRUP (MOLASSES)	115
PAMPANITO	SELTZER		SODA	115
PAMPANITO	ST. ELIZABETH ALLSPICE DRAM		LIQUEUR (ALLSPICE DRAM)	115
PAMPANITO		5	RUM (BLACK BLENDED)	115
PAMPANITO	ANGOSTURA BITTERS		BITTERS (AROMATIC)	115
MAX'S MISTAKE			JUICE (LEMON)	115
MAX'S MISTAKE			SYRUP (PASSION FRUIT)	115
MAX'S MISTAKE			SYRUP (HONEY)	115
MAX'S MISTAKE			GIN (LONDON DRY)	115
MAX'S MISTAKE	ANGOSTURA BITTERS		BITTERS (AROMATIC)	115
MAX'S MISTAKE	FENTIMANS VICTORIAN LEMONADE (OR ANY QUALITY DRY SPARKLING LEMONADE)		SPARKLING LEMONADE	115
LA GUILDIVE			BEER (GINGER)	116
LA GUILDIVE			JUICE (LIME)	116
LA GUILDIVE			LIQUEUR (LICOR 43)	116
LA GUILDIVE	PEACH LIQUEUR (SUCH AS MATHILDE PEACH OR COMBIER CRÈME DE PÊCHE DE VIGNE)		LIQUEUR (PEACH)	116
LA GUILDIVE		3	RUM (BLENDED AGED)	116
LA GUILDIVE	GRATED CINNAMON		SPICE (CINNAMON)	116
THE TWENTY SEVENTY SWIZZLE			JUICE (LIME)	116
THE TWENTY SEVENTY SWIZZLE			SYRUP (DEMERARA)	116
THE TWENTY SEVENTY SWIZZLE			SYRUP (HONEY)	116
THE TWENTY SEVENTY SWIZZLE	ST. ELIZABETH ALLSPICE DRAM		LIQUEUR (ALLSPICE DRAM)	116
THE TWENTY SEVENTY SWIZZLE		4	RUM (COLUMN STILL AGED)	116
THE TWENTY SEVENTY SWIZZLE		6	RUM (BLACK BLENDED OVERPROOF)	116
THE TWENTY SEVENTY SWIZZLE			BITTERS (HERBSTURA)	116
THE TWENTY SEVENTY SWIZZLE	GRATED NUTMEG		SPICE (NUTMEG)	116
SHUDDERS IN A WHISPER			JUICE (LIME)	118
SHUDDERS IN A WHISPER			SYRUP (PASSION FRUIT)	118
SHUDDERS IN A WHISPER	PEAR LIQUEUR (SUCH AS MATHILDE POIRE)		LIQUEUR (PEAR)	118
SHUDDERS IN A WHISPER			LIQUEUR (DRAMBUIE)	118
SHUDDERS IN A WHISPER	SELTZER		SODA	118
SHUDDERS IN A WHISPER		4	RUM (COLUMN STILL AGED)	118
SHUDDERS IN A WHISPER	PEYCHAUD'S BITTERS		BITTERS (CREOLE)	118
SHUDDERS IN A WHISPER	ANGOSTURA BITTERS		BITTERS (AROMATIC)	118
CUEVAS			SYRUP (CINNAMON)	118
CUEVAS	PUNT E MES		VERMOUTH (SWEET)	118
CUEVAS			PORT (TAWNY)	118
CUEVAS		3	RUM (BLENDED AGED)	118
CUEVAS	BITTERMENS 'ELEMAKULE TIKI BITTERS		BITTERS (TIKI)	118
NORWEGIAN PARALYSIS			JUICE (ORANGE)	119
NORWEGIAN PARALYSIS			JUICE (PINEAPPLE)	119
NORWEGIAN PARALYSIS			JUICE (LEMON)	119
NORWEGIAN PARALYSIS			SYRUP (DEMERARA)	119
NORWEGIAN PARALYSIS	ORGEAT		SYRUP (ALMOND)	119
NORWEGIAN PARALYSIS			AQUAVIT	119
JUAN HO ROYALE	CHAMPAGNE OR SPARKLING WINE		WINE (SPARKLING)	119
JUAN HO ROYALE			JUICE (LIME)	119
JUAN HO ROYALE	ORGEAT		SYRUP (ALMOND)	119
JUAN HO ROYALE	BLUE CURACAO		LIQUEUR (ORANGE BLUE)	119
JUAN HO ROYALE	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	119
JUAN HO ROYALE			TEQUILA (BLANCO)	119
CHARTREUSE SWIZZLE			JUICE (PINEAPPLE)	120
CHARTREUSE SWIZZLE			JUICE (LIME)	120
CHARTREUSE SWIZZLE	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	120
CHARTREUSE SWIZZLE			LIQUEUR (CHARTREUSE GREEN)	120
ROSELITA	SELTZER		SODA	120
ROSELITA			JUICE (LIME)	120
ROSELITA	ORGEAT		SYRUP (ALMOND)	120
ROSELITA			LIQUEUR (HIBISCUS)	120
ROSELITA	PEAR LIQUEUR (SUCH AS MATHILDE POIRE)		LIQUEUR (PEAR)	120
ROSELITA		4	RUM (COLUMN STILL AGED)	120
ROSELITA	PEYCHAUD'S BITTERS		BITTERS (CREOLE)	120
CENTER OF THE GALAXY			JUICE (LIME)	121
CENTER OF THE GALAXY			SYRUP (DEMERARA)	121
CENTER OF THE GALAXY			SYRUP (HONEY)	121
CENTER OF THE GALAXY	ST. GEORGE RASPBERRY LIQUEUR		LIQUEUR (RASPBERRY)	121
CENTER OF THE GALAXY		3	RUM (BLENDED AGED)	121
CENTER OF THE GALAXY	GROUND CINNAMON		SPICE (CINNAMON)	121
CALLALOO COOLER	SELTZER		SODA	121
CALLALOO COOLER			JUICE (LIME)	121
CALLALOO COOLER			SYRUP (CINNAMON)	121
CALLALOO COOLER			LIQUEUR (CHERRY HEERING)	121
CALLALOO COOLER		2	RUM (BLENDED LIGHTLY AGED)	121
CALLALOO COOLER	ANGOSTURA BITTERS		BITTERS (AROMATIC)	121
TOP NOTCH VOLCANO			JUICE (LIME)	134
TOP NOTCH VOLCANO			JUICE (PINEAPPLE)	134
TOP NOTCH VOLCANO			PUREE (PASSION FRUIT)	134
TOP NOTCH VOLCANO			SYRUP (DEMERARA)	134
TOP NOTCH VOLCANO	LUXARDO MARASCHINO LIQUEUR		LIQUEUR (MARASCHINO)	134
TOP NOTCH VOLCANO		2	RUM (BLENDED LIGHTLY AGED)	134
TOP NOTCH VOLCANO		3	RUM (BLENDED AGED)	134
THE NAKED APE			JUICE (LEMON)	134
THE NAKED APE			SYRUP (CINNAMON)	134
THE NAKED APE	GIFFARD BANANE DU BRÉSIL BANANA LIQUEUR		BANANA LIQUEUR	134
THE NAKED APE		5	RUM (BLACK BLENDED)	134
THE NAKED APE		1	POT STILL LIGHTLY AGED RUM (OVERPROOF)	134
THE NAKED APE	ANGOSTURA BITTERS		BITTERS (AROMATIC)	134
SWIZZLE FRANÇAIS			JUICE (LIME)	136
SWIZZLE FRANÇAIS			SYRUP (MARTINIQUE SUGARCANE)	136
SWIZZLE FRANÇAIS	ST. ELIZABETH ALLSPICE DRAM		LIQUEUR (ALLSPICE DRAM)	136
SWIZZLE FRANÇAIS		8	RUM (CANE AOC MARTINIQUE RHUM AGRICOLE VIEUX)	136
SWIZZLE FRANÇAIS	GROUND CINNAMON		SPICE (NUTMEG)	136
SPARKLING MAI TAI			JUICE (LIME)	136
SPARKLING MAI TAI	ORGEAT		SYRUP (ALMOND)	136
SPARKLING MAI TAI	PIERRE FERRAND DRY CURACAO		LIQUEUR (ORANGE)	136
SPARKLING MAI TAI		6	RUM (BLACK BLENDED OVERPROOF)	136
SPARKLING MAI TAI		3	RUM (BLENDED AGED)	136
SPARKLING MAI TAI			WINE (SPARKLING)	136
THE ERNESTO	TING GRAPEFRUIT SODA		SODA (GRAPEFRUIT)	137
THE ERNESTO			JUICE (LIME)	137
THE ERNESTO			SYRUP (HONEY)	137
THE ERNESTO	APRICOT LIQUEUR (SUCH AS ROTHMAN & WINTER APRICOT LIQUEUR OR GIFFARD ABRICOT DU ROUSSILLON)		LIQUEUR (APRICOT)	137
THE ERNESTO			TEQUILA (BLANCO)	137
THE ERNESTO			BITTERS (HERBSTURA)	137
THE SEXPERT			JUICE (LEMON)	137
THE SEXPERT			SYRUP (PASSION FRUIT)	137
THE SEXPERT	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	137
THE SEXPERT	PERUVIAN PISCO		BRANDY (PISCO)	137
THE SEXPERT			GIN	137
THE SEXPERT			BITTERS (BITTERMENS BURLESQUE)	137
SMUGGLER'S RUM BARREL			JUICE (LIME)	139
SMUGGLER'S RUM BARREL			JUICE (PINEAPPLE)	139
SMUGGLER'S RUM BARREL			SECRET	139
SMUGGLER'S RUM BARREL			SECRET	139
SMUGGLER'S RUM BARREL		6	RUM (BLACK BLENDED OVERPROOF)	139
SMUGGLER'S RUM BARREL	ANGOSTURA BITTERS		BITTERS (AROMATIC)	139
HANA REVIVER			JUICE (LEMON)	139
HANA REVIVER			SYRUP (PASSION FRUIT)	139
HANA REVIVER			LI HING MUI POWDER	139
HANA REVIVER	SELTZER		SODA	139
HANA REVIVER			LIQUEUR (MARASCHINO)	139
HANA REVIVER			RUM (POT STILL UNAGED)	139
KAITEUR SWIZZLE			JUICE (LIME)	140
KAITEUR SWIZZLE			SYRUP (MAPLE)	140
KAITEUR SWIZZLE	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	140
KAITEUR SWIZZLE	BLENDED AGED RUM (GUYANA)	3	RUM (BLENDED AGED)	140
KAITEUR SWIZZLE	ANGOSTURA BITTERS		BITTERS (AROMATIC)	140
THE EXPEDITION			JUICE (LIME)	140
THE EXPEDITION			SYRUP (CINNAMON)	140
THE EXPEDITION			SYRUP (HONEY)	140
THE EXPEDITION	VANILLLA SYRUP		SYRUP (VANILLA)	140
THE EXPEDITION	SELTZER		SODA	140
THE EXPEDITION	BITTERMENS NEW ORLEANS COFFEE LIQUEUR		LIQUEUR (COFFEE)	140
THE EXPEDITION		5	RUM (BLACK BLENDED)	140
THE EXPEDITION			WHISKEY (BOURBON)	140
THE UNDEAD GENTLEMAN			ABSINTHE (BLANC)	142
THE UNDEAD GENTLEMAN			JUICE (LIME)	142
THE UNDEAD GENTLEMAN			JUICE (GRAPEFRUIT) (WHITE OR PINK)	142
THE UNDEAD GENTLEMAN			SYRUP (CINNAMON)	142
THE UNDEAD GENTLEMAN	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	142
THE UNDEAD GENTLEMAN		6	RUM (BLACK BLENDED OVERPROOF)	142
THE UNDEAD GENTLEMAN		3	RUM (BLENDED AGED)	142
THE UNDEAD GENTLEMAN	ANGOSTURA BITTERS		BITTERS (AROMATIC)	142
THE DEAD RECKONING	SELTZER		SODA	142
THE DEAD RECKONING			JUICE (LEMON)	142
THE DEAD RECKONING			JUICE (PINEAPPLE)	142
THE DEAD RECKONING			SYRUP (MAPLE)	142
THE DEAD RECKONING			BRANDY (VANILLA)	142
THE DEAD RECKONING			PORT (TAWNY)	142
THE DEAD RECKONING		3	RUM (BLENDED AGED)	142
THE DEAD RECKONING	ANGOSTURA BITTERS		BITTERS (AROMATIC)	142
FALINUM			JUICE (LEMON)	144
FALINUM			CREAM (COCONUT)	144
FALINUM	SELTZER		SODA	144
FALINUM	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	144
FALINUM		4	RUM (COLUMN STILL AGED)	144
FALINUM			BITTERS (ORANGE)	144
HUMUHUMUNUKUNUKUAPUA'A			JUICE (LEMON)	144
HUMUHUMUNUKUNUKUAPUA'A			JUICE (PINEAPPLE)	144
HUMUHUMUNUKUNUKUAPUA'A	ORGEAT		SYRUP (ALMOND)	144
HUMUHUMUNUKUNUKUAPUA'A			GIN	144
HUMUHUMUNUKUNUKUAPUA'A	PEYCHAUD'S BITTERS		BITTERS (CREOLE)	144
LAUWILIWILINUKUNUKU'OI'OI			JUICE (LEMON)	144
LAUWILIWILINUKUNUKU'OI'OI			JUICE (PINEAPPLE)	144
LAUWILIWILINUKUNUKU'OI'OI	ORGEAT		SYRUP (ALMOND)	144
LAUWILIWILINUKUNUKU'OI'OI		3	RUM (BLENDED AGED)	144
LAUWILIWILINUKUNUKU'OI'OI	PEYCHAUD'S BITTERS		BITTERS (CREOLE)	144
FINKELGROG			JUICE (LIME)	145
FINKELGROG			JUICE (GRAPEFRUIT)	145
FINKELGROG	ORGEAT		SYRUP (ALMOND)	145
FINKELGROG			SYRUP (NAPA WINE)	145
FINKELGROG			LIQUEUR (LICOR 43)	145
FINKELGROG		2	RUM (BLENDED LIGHTLY AGED)	145
FINKELGROG		5	RUM (BLACK BLENDED)	145
FINKELGROG	SELTZER		SODA	145
FINKELGROG	GROUND CINNAMON		SPICE (CINNAMON)	145
FOR PETE'S SAKE			JUICE (LIME)	145
FOR PETE'S SAKE			SYRUP (DEMERARA)	145
FOR PETE'S SAKE			LIQUEUR (HIBISCUS)	145
FOR PETE'S SAKE			LIQUEUR (CHERRY HEERING)	145
FOR PETE'S SAKE	PERUVIAN PISCO		BRANDY (PISCO)	145
FOR PETE'S SAKE	ANGOSTURA BITTERS		BITTERS (AROMATIC)	145
ARRACK PUNCH			JUICE (LEMON)	163
ARRACK PUNCH			JUICE (LIME)	163
ARRACK PUNCH			SYRUP (DEMERARA)	163
ARRACK PUNCH			BATAVIA ARRACK	163
ARRACK PUNCH		1	POT STILL LIGHTLY AGED RUM (OVERPROOF)	163
ARRACK PUNCH			CABONATED CHAI TEA	163
EL DRAQUE			LEAVES (MINT)	163
EL DRAQUE			SYRUP (DEMERARA)	163
EL DRAQUE			JUICE (LIME)	163
EL DRAQUE	POT STILL AGED CACHAÇA		CACHAÇA	163
GROG			JUICE (LIME)	165
GROG			SYRUP (DEMERARA)	165
GROG			RUM	165
RUM FLIP			EGG MEDIUM	165
RUM FLIP			SYRUP (DEMERARA)	165
RUM FLIP		3	RUM (BLENDED AGED)	165
BOMBO			SYRUP (DEMERARA)	167
BOMBO		3	RUM (BLENDED AGED)	167
CALIBOGUS	SELTZER		SODA	167
CALIBOGUS			JUICE (LIME)	167
CALIBOGUS			SYRUP (MOLASSES)	167
CALIBOGUS			EXTRACT (SPRUCE BEER SODA)	167
CALIBOGUS	ZIRBENZ STONE PINE LIQUEUR		LIQUEUR (PINE)	167
CALIBOGUS		3	RUM (BLENDED AGED)	167
MARY PICKFORD			JUICE (PINEAPPLE)	168
MARY PICKFORD			SYRUP (GRENADINE)	168
MARY PICKFORD	LUXARDO MARASCHINO LIQUEUR		LIQUEUR (MARASCHINO)	168
MARY PICKFORD		2	RUM (BLENDED LIGHTLY AGED)	168
DAIQUIRI NO. 1			JUICE (LIME)	168
DAIQUIRI NO. 1			SYRUP (DEMERARA)	168
DAIQUIRI NO. 1		2	RUM (BLENDED LIGHTLY AGED)	168
HOTEL NACIONAL SPECIAL	(1-INCH-SQUARE) PINEAPPLE CHUNKS		FRUIT (PINEAPPLE)	171
HOTEL NACIONAL SPECIAL			JUICE (LIME)	171
HOTEL NACIONAL SPECIAL			SYRUP (DEMERARA)	171
HOTEL NACIONAL SPECIAL	APRICOT LIQUEUR (SUCH AS ROTHMAN & WINTER APRICOT LIQUEUR OR GIFFARD ABRICOT DU ROUSSILLON)		LIQUEUR (APRICOT)	171
HOTEL NACIONAL SPECIAL		2	RUM (BLENDED LIGHTLY AGED)	171
DAISY DE SANTIAGO			JUICE (LIME)	171
DAISY DE SANTIAGO			SYRUP (DEMERARA)	171
DAISY DE SANTIAGO	SELTZER		SODA	171
DAISY DE SANTIAGO			LIQUEUR (YELLOW CHARTREUSE)	171
DAISY DE SANTIAGO		2	RUM (BLENDED LIGHTLY AGED)	171
EL PRESIDENTE			SYRUP (GRENADINE)	172
EL PRESIDENTE			VERMOUTH (DRY)	172
EL PRESIDENTE	PIERRE FERRAND DRY CURACAO		LIQUEUR (ORANGE)	172
EL PRESIDENTE		2	RUM (BLENDED LIGHTLY AGED)	172
TWELVE MILE LIMIT			JUICE (LEMON)	172
TWELVE MILE LIMIT			SYRUP (GRENADINE)	172
TWELVE MILE LIMIT		2	RUM (BLENDED LIGHTLY AGED)	172
TWELVE MILE LIMIT			WHISKEY (RYE)	172
TWELVE MILE LIMIT			BRANDY (GRAPE)	172
PARISIAN BLONDE	PIERRE FERRAND DRY CURACAO		LIQUEUR (ORANGE)	174
PARISIAN BLONDE		3	RUM (BLENDED AGED)	174
PARISIAN BLONDE			CREAM (SWEET)	174
CORA MIDDLETON			EGG (WHITE)	174
CORA MIDDLETON		3	RUM (BLENDED AGED)	174
CORA MIDDLETON			JUICE (LIME)	174
CORA MIDDLETON			SYRUP (DEMERARA)	174
CORA MIDDLETON	SMALL HAND FOODS RASPBERRY GUM SYRUP		SYRUP (RASPBERRY GUM)	174
MILLIONAIRE COCKTAIL NO. 1			JUICE (LIME)	175
MILLIONAIRE COCKTAIL NO. 1			SYRUP (GRENADINE)	175
MILLIONAIRE COCKTAIL NO. 1	APRICOT LIQUEUR (SUCH AS ROTHMAN & WINTER APRICOT LIQUEUR OR GIFFARD ABRICOT DU ROUSSILLON)		LIQUEUR (APRICOT)	175
MILLIONAIRE COCKTAIL NO. 1			BLACK POT STILL RUM	175
