ingredient	name	notes
Soda, Club	Tom Collins	
Soda, Club	Wellington Fizz	
Soda, Club	White Birch Fizz	
Soda, Coca-Cola	Cinema Highball	
Soda, Grapefruit	Paloma	
Soda, Lemon	Johnny Apple Collins	
Soda, Lemon	Pearl Button	Limonata
Sorbet	Coconut Colada	
Sorrel, Spiced	Crimson Tide	
Strega	Heirloom	
Strega	Rye Witch	
Strega	White Birch Fizz	
Strega	Witch's Kiss	
Suze	Brown Bomber	
Suze	White Birch Fizz	spritz
Suze	White Negroni	
Syrup, Agave	Blackbeard	
Syrup, Agave	Lawn Dart	
Syrup, Agave	Margarita	
Syrup, Agave	Mezcal Mule	
Syrup, Agave	Pearl of Puebla	
Syrup, Agave	Red-Headed Saint	
Syrup, Agave	Resting Point	
Syrup, Agave	Tommy's Margarita	
Syrup, Black Cardamon	Mariner	
Syrup, Cane Sugar	Rhum Club	
Syrup, Cane Sugar	Shiso Delicious	
Syrup, Cane Sugar	Ti-Punch	
Syrup, Caramelized Simple	Silk Road	
Syrup, Clove	Silver Sangaree	
Syrup, Cranberry	Cranberry Cobbler	
Syrup, Demerara	Masataka Swizzle	
Syrup, Demerara	Mum's Apple Pie	
Syrup, Demerara	New Amsterdam	
Syrup, Demerara	Nth Degree	
Syrup, Demerara	Old-Fashioned Whiskey Cocktail	
Syrup, Demerara	Queens Park Swizzle	
Syrup, Demerara	Rack & Rye	
Syrup, Demerara	Single Malt Sangaree	
Syrup, Grapefruit	Swiss Mist	
Syrup, Honey	Airmail	
Syrup, Honey	Bee's Knees	
Syrup, Honey	Brown Derby	
Syrup, Honey	Falling Leaves	
Syrup, Honey	Gold Rush	
Syrup, Honey	Imperial Silver Corn Fizz	
Syrup, Honey	Japanese Courage	
Syrup, Honey	Le Père Bis	
Syrup, Honey	Navy Grog	
Syrup, Honey	St. Rita	
Syrup, Kumquat	Kin Kan	
Syrup, Lemon	Reverend Palmer	
Syrup, Lemongrass	Brazilian Tea Punch	
Syrup, Maple	Applejack Rabbit	
Syrup, Maple	Benton's Old-Fashioned	
Syrup, Maple	Betula	
Syrup, Maple	Great Pumpkin	
Syrup, Maple	Little Bit Country	
Syrup, Maple	Master Cleanse	
Syrup, Maple	Nouveau Sangaree	
Syrup, Maple	Pumpkin Toddy	
Syrup, Rice	100 Year Punch	Ssal-Yut
Syrup, Rose	Blackthorn Rose	
Syrup, Tonic	Gin & Tonic	
Syrup, Vanilla	Sage Old Buck	
Tea, Chamomile	Le Père Bis	
Tea, Jasmine	Golden Star Fizz	
Tea, Hibiscus	Green Harvest	
Tequila, Añejo	Dulce de Leche	Don Julio
Tequila, Añejo	Eclipse Cocktail	El Tesoro
Tequila, Añejo	Nouveau Carré	Ocho
Tequila, Blanco	Conquistador	Siembra Azul
Tequila, Blanco	East Village Athletic Club Cocktail	Siembra Azul
Tequila, Blanco	El Diablo	Siembra Azul
Tequila, Blanco	El Puente	José Cuervo Platino
Tequila, Blanco	Fresa Verde	Gran Centenario
Tequila, Blanco	Green Harvest	José Cuervo Platino
Tequila, Blanco	Lawn Dart	Partida
Tequila, Blanco	Margarita	El Tesoro
Tequila, Blanco	Pharoaoh Cooler	Partida
Tequila, Blanco	Rhubarbarita	Partida
Tequila, Blanco	Siesta	El Tesoro Platinum
Tequila, Blanco	Tommy's Margarita	L&J
Tequila, Blanco	T&T	Siembra Azul
Tequila, Blanco	Witch's Kiss	José Cuervo Platino
Tequila, Reposado	#8	Don Julio
Tequila, Reposado	212	Partida
Tequila, Reposado	Águila Azteca	José Cuervo Tradicional
Tequila, Reposado	Cafe Arroz	Gran Centenario
Tequila, Reposado	Condiment Cocktail	Partida
Tequila, Reposado	El Burro	Siembra Azul
Tequila, Reposado	Frambroise Fizz	Siete Leguas
Tequila, Reposado	La Perla	Partida
Tequila, Reposado	Mexicano	Partida
Tequila, Reposado	Paloma	Siete Leguas
Tequila, Reposado	Resting Point	Siete Leguas
Tequila, Reposado	Rosita	Partida
Tequila, Reposado	Shaddock Rose	El Tesoro
Tincture, Goldenseal	Master Cleanse	
Tincture, Lavender	Flora Astoria	
Trader Tiki's Don's Mix	Zombie Punch	
Vermouth, Bianco/Blanc	Astoria Bianco	Martini
Vermouth, Bianco/Blanc	El Puente	Martini
Vermouth, Bianco/Blanc	Ephemeral	Dolin
Vermouth, Bianco/Blanc	Flora Astoria	Dolin
Vermouth, Dry	Algonquin	Dolin
Vermouth, Dry	Berlioni	Noilly Prat
Vermouth, Dry	Black Thorn (Irish)	Dolin
Vermouth, Dry	Brooklyn	Dolin
Vermouth, Dry	Bronx	Dolin
Vermouth, Dry	Caprice	Dolin
Vermouth, Dry	Chrysanthemum	Dolin
Vermouth, Dry	Dry County Cocktail	Dolin
Vermouth, Dry	Field Cocktail	Noilly Prat
Vermouth, Dry	Flora Astoria	Dolin
Vermouth, Dry	Kina Miele	Dolin
Vermouth, Dry	Old Pal	Dolin
Vermouth, Dry	Paddy Wallbanger	Dolin
Vermouth, Dry	Rite of Spring	Vya
Vermouth, Dry	Rose	Noilly Prat
Vermouth, Dry	Rosita	Dolin
Vermouth, Dry	Smoky Grove	Dolin
Vermouth, Dry	Tuxedo	Dolin
Vermouth, Dry	Vaccari	Dolin
Vermouth, Sweet	#3 Cup	Martini
Vermouth, Sweet	Americano Highball	Carpano Antica
Vermouth, Sweet	Bijou	Dolin
Vermouth, Sweet	Blackthorn (English)	Carpano Antica
Vermouth, Sweet	Blood and Sand	Carpano Antica
Vermouth, Sweet	Bobby Burns	Martini
Vermouth, Sweet	Bronx	Carpano Antica
Vermouth, Sweet	Bubbaloo	Carpano Antica
Vermouth, Sweet	De la Louisiane	Dolin
Vermouth, Sweet	Hanky Panky	Carpano Antica
Vermouth, Sweet	Harvest Sling	Martini
Vermouth, Sweet	La Florida Cocktail	Martini
Vermouth, Sweet	Left Hand Cocktail	Carpano Antica
Vermouth, Sweet	Manhattan	Martini
Vermouth, Sweet	Martinez	Dolin
Vermouth, Sweet	Negroni	Martini
Vermouth, Sweet	Newark	Vya
Vermouth, Sweet	Persephone	Dolin
Vermouth, Sweet	Professor	Carpano Antica
Vermouth, Sweet	Red Devil	jujube tea-infused, Vya
Vermouth, Sweet	Remember the Maine	Carpano Antica
Vermouth, Sweet	Rob Roy	Dolin
Vermouth, Sweet	Romeo y Julieta	Carpano Antica
Vermouth, Sweet	Rosita	Martini
Vermouth, Sweet	Smoky Grove	Carpano Antica
Vermouth, Sweet	Tipperary Cocktail	Carpano Antica
Vermouth, Sweet	Vieux Carré	Carpano Antica
Vodka	Blackstar	Smirnoff Black
Vodka	Gold Coast	Karlsson's Gold
Vodka	Mint Apple Crisp	Heart of the Hudson Apple
Vodka	Moscow Mule	Smirnoff Black
Vodka	Parkside Fizz	Hangar One Buddha's Hand
Vodka	Tao of Pooh	42 Below Manuka Honey
Vodka	Vesper	Belvedere
Vodka	Wellington Fizz	42 Below Kiwi
Water, Coconut	Chien Chaud	
Water, Coconut	Tao of Pooh	
Water, Corn	Imperial Silver Corn Fizz	
Water, Orange Flower	Ramos Gin Fizz	
Water, Rose Flower	Pharoaoh Cooler	
Water, Rose Flower	Raspberries Reaching	
Water, Tonic	100 Year Punch	
Whiskey, Bourbon	100 Year Punch	Elijah Craig 12 yo
Whiskey, Bourbon	Benton's Old-Fashioned	bacon-infused, Four Roses
Whiskey, Bourbon	Brown Derby	Maker's Mark
Whiskey, Bourbon	Figetaboutit	Bulleit
Whiskey, Bourbon	Gold Rush	Elijah Craig 12 yo
Whiskey, Bourbon	Johnny Apple Collins	Maker's Mark
Whiskey, Bourbon	Left Hand Cocktail	Elijah Craig 12 yo
Whiskey, Bourbon	Little Bit Country	Bulleit
Whiskey, Bourbon	Mae West Royal Diamond Fizz	goji berry-infused, Four Roses Single Barrel
Whiskey, Bourbon	Mint Julep	Booker's
Whiskey, Bourbon	Newfangled	Old Grand-Dad Bonded
Whiskey, Bourbon	New York Flip	Elijah Craig 12 yo
Whiskey, Bourbon	Reverend Palmer	black tea-infused, Elijah Craig 12 yo
Whiskey, Bourbon	Seelbach Cocktail	Bulleit
Whiskey, Bourbon	Staggerac	George T. Stagg or other high proof
Whiskey, Bourbon	Talbott Leaf	Old Grand-Dad Bonded
Whiskey, Bourbon	There Will Be Blood	Old Grand-Dad Bonded
Whiskey, Corn	Brewer's Breakfast	Glen Thunder
Whiskey, Irish	Against All Odds	Bushmills
Whiskey, Irish	Black Thorn (Irish)	Black Bush
Whiskey, Irish	Cameron's Kick	Jameson
Whiskey, Irish	Hotel d'Alsace	Bushmills
Whiskey, Irish	Lake George	Jameson
Whiskey, Irish	Paddy Wallbanger	Black Bush
Whiskey, Irish	Tipperary Cocktail	Black Bush
Whiskey, Irish	Weeski	Jameson
Whiskey, Rye	Algonquin	Rittenhouse
Whiskey, Rye	Betula	birch-infused, Rittenhouse
Whiskey, Rye	Blinker	Wild Turkey
Whiskey, Rye	Brooklyn	Rittenhouse
Whiskey, Rye	De la Louisiane	Wild Turkey
Whiskey, Rye	Deshler	Rittenhouse
Whiskey, Rye	Dewey D.	Old Overholt
Whiskey, Rye	Diamondback	Rittenhouse
Whiskey, Rye	Duboudreau Cocktail	Rittenhouse
Whiskey, Rye	Frisco	Old Potrero Hotaling's
Whiskey, Rye	Great Pumpkin	Rittenhouse
Whiskey, Rye	Greenpoint	Rittenhouse
Whiskey, Rye	Harvest Moon	Wild Turkey
Whiskey, Rye	Improved Whiskey Cocktail	Rittenhouse
Whiskey, Rye	Junior	Rittenhouse
Whiskey, Rye	Lacrimosa	Rittenhouse
Whiskey, Rye	Lion's Tooth	dandelion root-infused, Rittenhouse
Whiskey, Rye	L.E.S. Globetrotter	Wild Turkey
Whiskey, Rye	Manhattan	Wild Turkey
Whiskey, Rye	Old-Fashioned Whiskey Cocktail	Wild Turkey
Whiskey, Rye	Old Pal	Old Overholt
Whiskey, Rye	Pumpkin Toddy	Rittenhouse
Whiskey, Rye	Rack & Rye	Wild Turkey Russel's Reserve 6 yo
Whiskey, Rye	Rattlesnake	Rittenhouse
Whiskey, Rye	Remember the Maine	Wild Turkey Russel's Reserve 6 yo
Whiskey, Rye	Rye Witch	Rittenhouse
Whiskey, Rye	Sazerac	Rittenhouse
Whiskey, Rye	Silver Lining	Old Overholt
Whiskey, Rye	Solstice	Rittenhouse
Whiskey, Rye	Triborough	Wild Turkey
Whiskey, Rye	Up to Date	Wild Turkey
Whiskey, Rye	Vieux Carré	Sazerac 6 yo
Whiskey, Rye	Ward Eight	Rittenhouse
Whiskey, Rye	Whiskey Smash	Rittenhouse
Whisky, Blended Scotch	Apple Malt Toddy	Chivas Regal 12 yo
Whisky, Blended Scotch	Blood and Sand	Famous Grouse
Whisky, Blended Scotch	Cameron's Kick	Famous Grouse
Whisky, Blended Scotch	Gilchrist	Compass Box Asyla
Whisky, Blended Scotch	Mariner	Compass Box Oak Cross
Whisky, Blended Scotch	Prince Edward	Compass Box Oak Cross
Whisky, Blended Scotch	Rob Roy	Famous Grouse
Whisky, Blended Scotch	Rusty Nail	Famous Grouse
Whisky, Blended Scotch	Silver Sangaree	Famous Grouse
Whisky, Blended Scotch	Smoky Grove	Compass Box Peat Monster
Whisky, Blended Scotch	Vaccari	chamomile-infused, Compass Box Asyla
Whisky, Blended Scotch	Woolworth	Compass Box Asyla
Whisky, Japanese Malt	Kansai Kick	Yamazaki 12 yo
Whisky, Japanese Malt	Masataka Swizzle	Nikka Taketsuru 12 yo
Whisky, Japanese Malt	Shiso Malt Sour	Yamazaki 12 yo
Whisky, Single Malt Scotch	Bobby Burns	Benromach 12 yo
Whisky, Single Malt Scotch	Lake George	Glenlivet 12 yo
Whisky, Single Malt Scotch	Le Père Bis	Ardbeg 10 yo
Whisky, Single Malt Scotch	Rapscallion	Talisker 10 yo
Whisky, Single Malt Scotch	Sage Old Buck	Benromach 12 yo
Whisky, Single Malt Scotch	Single Malt Sangaree	Oban 14 yo
Whisky, Single Malt Scotch	Vauvert Slim	Laphroaig 10 yo
Whisky, Tennessee	Brown Bomber	George Dickel No. 12
Whisky, Tennessee	Dry County Cocktail	George Dickel No. 12
Whisky, Tennessee	Imperial Silver Corn Fizz	George Dickel No. 12
Whiskey, Wheat	Frankfort Rose	hibiscus-infused, Bernheim
Wine, Beaujolais Nouveau	Nouveau Sangaree	
Wine, Cabernet Franc	Silver Sangaree	Paumanok
Wine, Cabernet Franc	Single Malt Sangaree	Paumanok
Wine, Champagne	Airmail	Moët Imperial
Wine, Champagne	Bizet	Moët Imperial
Wine, Champagne	Champagne Cocktail	Moët Imperial
Wine, Champagne	Donizetti	Moët Imperial
Wine, Champagne	French 75	Moët Imperial
Wine, Champagne	Imperial Blueberry Fizz	Moët Imperial
Wine, Champagne	Imperial Silver Corn Fizz	Moët Imperial
Wine, Champagne	Jimmie Roosevelt	Moët Imperial
Wine, Champagne	May Day	Moët Imperial
Wine, Champagne	Mexicano	Moët Imperial
Wine, Champagne	Noce Royale	Moët Imperial
Wine, Champagne	Prince of Wales	Moët Imperial
Wine, Champagne	Seelbach Cocktail	Moët Imperial
Wine, Champagne	Velvet Club	Moët Imperial
Wine, Chardonnay	Against All Odds	Channing Daughters Scuttlehole
Wine, Chardonnay	Henry Hudson	Channing Daughters Scuttlehole
Wine, Prosecco	Aperol Spritz	Carpenè Malvolti
Wine, Reisling	Falling Leaves	Dr. Konstantin Frank
Wine, Rosé	Bizet	Shinn Estate
Wine, Tokaji	Raspberries Reaching	Tokaji Aszú 5 Puttonyos "Red Label"
Zwack	St. Rita	
